dataset,IForest,LOF,OCSVM,KNN,PCA,AutoEncoder,MCM,DRL,Disent,PAE-ws-pos-d64-lr0.001,MemPAE-ws-pos-d64-lr0.001-t0.1
L_opt,0.8869,0.993,0.9787,0.9898,0.5,0.9914,0.9837,0.9799,0.9719,,0.9952
L_mam,0.5951,0.9724,0.7039,0.7185,0.6914,0.7198,0.6898,0.6731,0.6386,,0.7246
L_stl,0.9103,0.9818,0.8671,0.9945,0.8268,0.9736,0.9798,0.9485,0.804,,0.9781
L_ion,0.7923,0.8839,0.9298,0.9469,0.8162,0.9496,0.6639,0.9281,0.8302,,0.9611
L_thy,0.8084,0.8232,0.8137,0.8404,0.8069,0.8447,0.8021,0.7744,0.7757,,0.8821
AVG_AUC,0.7986,0.9309,0.8586,0.898,0.7283,0.8958,0.8239,0.8608,0.8041,,0.9082
AVG_RANK,8.3333,2.6667,5.8333,3.0,8.3333,3.1667,6.6667,6.6667,8.5,,1.8333
