model,breastw,pima,shuttle,thyroid,AVG
DRL,0.9681105259368523,0.683010244331314,0.9685756189512629,0.6733218554161099,0.8232545611588848
IForest,0.9881415167119064,0.7358753256048901,0.9855149678006161,0.7547856228093168,0.8660793582316824
KNN,0.9954174479583067,0.6741109297420914,0.9140182111764776,0.45066831752830916,0.7585537266012963
LOF,0.9945177406676213,0.661976736317575,0.9060696506507968,0.5321785788109922,0.7736856766117464
MCM,0.9858829194780954,0.6807397596516886,0.9648412013083147,0.7838980457323367,0.8538404815426088
OCSVM,0.9939899307179566,0.5529669806775924,0.9633311328466027,0.24691764478081057,0.6893014222557405
Perceiver-d16-dcol0.1,0.9886647720735752,0.6831122069358775,0.9451193700658427,0.807334033532008,0.8560575956518259
Perceiver-d16-dcol0.3,0.9893702597406854,0.6887682628068059,0.9423406905149015,0.830582336724088,0.8627653874466201
Perceiver-d16-dcol0.5,0.9858004243455698,0.6914549651119597,0.9433809220509775,0.774437518533208,0.8487684575104288
Perceiver-d32-dcol0.1,0.9887405177030939,0.6993964078194623,0.9430794197325056,0.7982025305419299,0.857354718949248
Perceiver-d32-dcol0.3,0.9869478282909803,0.7076937354690374,0.9467875329139941,0.8014659110678325,0.860723751935461
Perceiver-d32-dcol0.5,0.9862020550357105,0.6971535794816333,0.9480213942086226,0.7884384349510716,0.8549538659192595
Perceiver-d8-dcol0.1,0.9885228527341627,0.689943577371786,0.9397665783208569,0.8214806900774996,0.8599284246260763
Perceiver-d8-dcol0.3,0.9879132783167343,0.7037506230822432,0.9441429214793846,0.8216930689249452,0.8643749729508268
Perceiver-d8-dcol0.5,0.9878756040432007,0.6722213128735627,0.9509628914430459,0.805748626506354,0.8542021087165408
