dataset,IForest,LOF,OCSVM,KNN,PCA,AutoEncoder,MCM,DRL,Disent,PAE-ws-pos-d64-lr0.001,MemPAE-ws-pos-d64-lr0.001-t0.1
D_opt,0.7582,0.984,0.7026,0.964,0.5,0.9501,0.9312,0.9448,0.5588,,0.9831
D_mam,0.7065,0.9727,0.6958,0.9051,0.4982,0.9833,0.8858,0.9502,0.712,,0.9864
D_stl,0.8478,0.9983,0.7771,0.9966,0.5939,0.9947,0.9978,0.9975,0.562,,0.9986
D_ion,0.7214,0.9821,0.94,0.9745,0.6294,0.9824,0.264,0.9891,0.638,,0.9946
D_thy,0.6405,0.8087,0.6479,0.7659,0.5967,0.8898,0.8142,0.8724,0.553,,0.9541
AVG_AUC,0.7349,0.9491,0.7527,0.9212,0.5636,0.9601,0.7786,0.9508,0.6048,,0.9833
AVG_RANK,7.5,3.1667,7.5,4.8333,9.5,3.1667,5.8333,3.5,8.8333,,1.1667
