dataset,IForest,LOF,OCSVM,ECOD,KNN,PCA,DeepSVDD,GOAD,NeuTraL,ICL,MCM,DRL,Disent,NPTAD,LATTE-patience-tuned,MBT-d128-top_k5-temp0.1,MQ-d128-qs16384-mo0.999-top_k5-temp0.1,ProtoAD-d64-proto5-eps0.05-contra0.1-temp0.1,ProtoAD-d64-proto10-eps0.05-contra0.1-temp0.1,ProtoAD-d64-proto16-eps0.05-contra0.1-temp0.1,ProtoAD-d64-proto32-eps0.05-contra0.1-temp0.1,ProtoAD-d32-proto5-eps0.05-contra0.01-temp0.1,ProtoAD-d32-proto10-eps0.05-contra0.01-temp0.1,ProtoAD-d32-proto16-eps0.05-contra0.01-temp0.1,ProtoAD-d32-proto32-eps0.05-contra0.01-temp0.1,ProtoAD-d32-proto64-eps0.05-contra0.01-temp0.1,ProtoAD-d32-proto128-eps0.05-contra0.01-temp0.1,ProtoAD-d32-proto5-eps0.05-contra0.1-temp0.1,ProtoAD-d32-proto10-eps0.05-contra0.1-temp0.1,ProtoAD-d32-proto16-eps0.05-contra0.1-temp0.1,ProtoAD-d32-proto32-eps0.05-contra0.1-temp0.1,ProtoAD-d32-proto64-eps0.05-contra0.1-temp0.1,ProtoAD-d32-proto128-eps0.05-contra0.1-temp0.1,ProtoAD-d32-proto5-eps0.05-contra1.0-temp0.1,ProtoAD-d32-proto10-eps0.05-contra1.0-temp0.1,ProtoAD-d32-proto16-eps0.05-contra1.0-temp0.1,ProtoAD-d32-proto32-eps0.05-contra1.0-temp0.1,ProtoAD-d32-proto64-eps0.05-contra1.0-temp0.1,ProtoAD-d32-proto128-eps0.05-contra1.0-temp0.1,ProtoAD-d32-proto5-eps0.1-contra0.01-temp0.1,ProtoAD-d32-proto10-eps0.1-contra0.01-temp0.1,ProtoAD-d32-proto16-eps0.1-contra0.01-temp0.1,ProtoAD-d32-proto32-eps0.1-contra0.01-temp0.1,ProtoAD-d32-proto64-eps0.1-contra0.01-temp0.1,ProtoAD-d32-proto128-eps0.1-contra0.01-temp0.1,ProtoAD-d32-proto5-eps0.1-contra0.1-temp0.1,ProtoAD-d32-proto10-eps0.1-contra0.1-temp0.1,ProtoAD-d32-proto16-eps0.1-contra0.1-temp0.1,ProtoAD-d32-proto32-eps0.1-contra0.1-temp0.1,ProtoAD-d32-proto64-eps0.1-contra0.1-temp0.1,ProtoAD-d32-proto128-eps0.1-contra0.1-temp0.1,ProtoAD-d32-proto5-eps0.1-contra1.0-temp0.1,ProtoAD-d32-proto10-eps0.1-contra1.0-temp0.1,ProtoAD-d32-proto16-eps0.1-contra1.0-temp0.1,ProtoAD-d32-proto32-eps0.1-contra1.0-temp0.1,ProtoAD-d32-proto64-eps0.1-contra1.0-temp0.1,ProtoAD-d32-proto128-eps0.1-contra1.0-temp0.1,ProtoAD-d64-proto5-eps0.05-contra0.01-temp0.1,ProtoAD-d64-proto10-eps0.05-contra0.01-temp0.1,ProtoAD-d64-proto16-eps0.05-contra0.01-temp0.1,ProtoAD-d64-proto32-eps0.05-contra0.01-temp0.1,ProtoAD-d64-proto64-eps0.05-contra0.01-temp0.1,ProtoAD-d64-proto128-eps0.05-contra0.01-temp0.1,ProtoAD-d64-proto5-eps0.05-contra0.1-temp0.1,ProtoAD-d64-proto10-eps0.05-contra0.1-temp0.1,ProtoAD-d64-proto16-eps0.05-contra0.1-temp0.1,ProtoAD-d64-proto32-eps0.05-contra0.1-temp0.1,ProtoAD-d64-proto64-eps0.05-contra0.1-temp0.1,ProtoAD-d64-proto128-eps0.05-contra0.1-temp0.1,ProtoAD-d64-proto5-eps0.05-contra1.0-temp0.1,ProtoAD-d64-proto10-eps0.05-contra1.0-temp0.1,ProtoAD-d64-proto16-eps0.05-contra1.0-temp0.1,ProtoAD-d64-proto32-eps0.05-contra1.0-temp0.1,ProtoAD-d64-proto64-eps0.05-contra1.0-temp0.1,ProtoAD-d64-proto128-eps0.05-contra1.0-temp0.1,ProtoAD-d64-proto5-eps0.1-contra0.01-temp0.1,ProtoAD-d64-proto10-eps0.1-contra0.01-temp0.1,ProtoAD-d64-proto16-eps0.1-contra0.01-temp0.1,ProtoAD-d64-proto32-eps0.1-contra0.01-temp0.1,ProtoAD-d64-proto64-eps0.1-contra0.01-temp0.1,ProtoAD-d64-proto128-eps0.1-contra0.01-temp0.1,ProtoAD-d64-proto5-eps0.1-contra0.1-temp0.1,ProtoAD-d64-proto10-eps0.1-contra0.1-temp0.1,ProtoAD-d64-proto16-eps0.1-contra0.1-temp0.1,ProtoAD-d64-proto32-eps0.1-contra0.1-temp0.1,ProtoAD-d64-proto64-eps0.1-contra0.1-temp0.1,ProtoAD-d64-proto128-eps0.1-contra0.1-temp0.1,ProtoAD-d64-proto5-eps0.1-contra1.0-temp0.1,ProtoAD-d64-proto10-eps0.1-contra1.0-temp0.1,ProtoAD-d64-proto16-eps0.1-contra1.0-temp0.1,ProtoAD-d64-proto32-eps0.1-contra1.0-temp0.1,ProtoAD-d64-proto64-eps0.1-contra1.0-temp0.1,ProtoAD-d64-proto128-eps0.1-contra1.0-temp0.1,ProtoAD-d128-proto5-eps0.05-contra0.01-temp0.1,ProtoAD-d128-proto10-eps0.05-contra0.01-temp0.1,ProtoAD-d128-proto16-eps0.05-contra0.01-temp0.1,ProtoAD-d128-proto32-eps0.05-contra0.01-temp0.1,ProtoAD-d128-proto64-eps0.05-contra0.01-temp0.1,ProtoAD-d128-proto128-eps0.05-contra0.01-temp0.1,ProtoAD-d128-proto5-eps0.05-contra0.1-temp0.1,ProtoAD-d128-proto10-eps0.05-contra0.1-temp0.1,ProtoAD-d128-proto16-eps0.05-contra0.1-temp0.1,ProtoAD-d128-proto32-eps0.05-contra0.1-temp0.1,ProtoAD-d128-proto64-eps0.05-contra0.1-temp0.1,ProtoAD-d128-proto128-eps0.05-contra0.1-temp0.1,ProtoAD-d128-proto5-eps0.05-contra1.0-temp0.1,ProtoAD-d128-proto10-eps0.05-contra1.0-temp0.1,ProtoAD-d128-proto16-eps0.05-contra1.0-temp0.1,ProtoAD-d128-proto32-eps0.05-contra1.0-temp0.1,ProtoAD-d128-proto64-eps0.05-contra1.0-temp0.1,ProtoAD-d128-proto128-eps0.05-contra1.0-temp0.1,ProtoAD-d128-proto5-eps0.1-contra0.01-temp0.1,ProtoAD-d128-proto10-eps0.1-contra0.01-temp0.1,ProtoAD-d128-proto16-eps0.1-contra0.01-temp0.1,ProtoAD-d128-proto32-eps0.1-contra0.01-temp0.1,ProtoAD-d128-proto64-eps0.1-contra0.01-temp0.1,ProtoAD-d128-proto128-eps0.1-contra0.01-temp0.1,ProtoAD-d128-proto5-eps0.1-contra0.1-temp0.1,ProtoAD-d128-proto10-eps0.1-contra0.1-temp0.1,ProtoAD-d128-proto16-eps0.1-contra0.1-temp0.1,ProtoAD-d128-proto32-eps0.1-contra0.1-temp0.1,ProtoAD-d128-proto64-eps0.1-contra0.1-temp0.1,ProtoAD-d128-proto128-eps0.1-contra0.1-temp0.1,ProtoAD-d128-proto5-eps0.1-contra1.0-temp0.1,ProtoAD-d128-proto10-eps0.1-contra1.0-temp0.1,ProtoAD-d128-proto16-eps0.1-contra1.0-temp0.1,ProtoAD-d128-proto32-eps0.1-contra1.0-temp0.1,ProtoAD-d128-proto64-eps0.1-contra1.0-temp0.1,ProtoAD-d128-proto128-eps0.1-contra1.0-temp0.1
car,0.9489,0.9265,0.9633,0.9356,0.9308,0.9659,0.9386,0.5109,0.6873,0.8135,0.9428,0.895,0.957,0.9538,0.9528,0.9498,0.9547,0.9237,0.8924,0.9237,0.9196,0.9066,0.9062,0.9148,0.9292,0.9181,0.9237,0.9279,0.9227,0.9089,0.9295,0.9258,0.9095,0.9311,0.9189,0.9113,0.9241,0.9231,0.9115,0.9018,0.9042,0.9328,0.9272,0.9258,0.9,0.9367,0.941,0.9389,0.9498,0.9471,0.9523,0.9463,0.9469,0.9382,0.9488,0.9469,0.9505,0.9117,0.9038,0.9203,0.916,0.9257,0.9324,0.9237,0.8924,0.9237,0.9196,0.9279,0.925,0.9193,0.9132,0.9249,0.9199,0.9261,0.9307,0.8959,0.9149,0.9128,0.9148,0.9372,0.9324,0.9413,0.9394,0.9323,0.9478,0.9539,0.9491,0.9404,0.9482,0.9408,0.9521,0.9535,0.9466,0.9408,0.9142,0.9146,0.9202,0.9056,0.9089,0.956,0.9341,0.9289,0.9221,0.9129,0.9208,0.9516,0.9432,0.9299,0.9309,0.9233,0.9276,0.9368,0.9575,0.9187,0.9492,0.9491,0.9252,0.9537,0.9612,0.9572,0.9522,0.9558,0.9563,0.9582,0.9553,0.9596,0.9488,0.9511,0.9471
ctg,0.808,0.7817,0.8208,0.7843,0.736,0.5976,0.7867,0.4226,0.5659,0.6593,0.7263,0.6668,0.7622,0.8332,0.7418,0.7615,0.7435,0.7363,0.6974,0.7162,0.7084,0.6804,0.6918,0.7111,0.7052,0.6946,0.7083,0.703,0.6853,0.7165,0.7094,0.7042,0.7302,0.7129,0.6851,0.7033,0.7093,0.704,0.7292,0.7226,0.7158,0.7001,0.7085,0.7214,0.7173,0.7645,0.7682,0.7386,0.7608,0.7517,0.7551,0.7674,0.7638,0.7268,0.7674,0.7491,0.7753,0.7149,0.6932,0.6966,0.7075,0.7238,0.7207,0.7363,0.6974,0.7162,0.7084,0.6837,0.7069,0.733,0.7211,0.7042,0.7176,0.7022,0.7188,0.7282,0.7095,0.7108,0.7062,0.732,0.7099,0.757,0.7763,0.791,0.7649,0.7671,0.7573,0.776,0.7818,0.7853,0.7662,0.7731,0.7577,0.7347,0.6971,0.7191,0.72,0.7079,0.7051,0.75,0.7471,0.72,0.721,0.7152,0.7304,0.7652,0.7414,0.712,0.7174,0.7321,0.7154,0.7975,0.7728,0.7637,0.7545,0.7565,0.7849,0.789,0.7871,0.8044,0.8047,0.7656,0.7748,0.8016,0.7915,0.8031,0.7955,0.7522,0.772
thy,0.99,0.9635,0.984,0.9772,0.9874,0.9827,0.975,0.8638,0.7999,0.7898,0.9768,0.9204,0.9791,0.9634,0.98,0.9792,0.9781,0.9722,0.9739,0.9719,0.9674,0.9727,0.9731,0.9699,0.9712,0.9684,0.9722,0.9746,0.9681,0.97,0.9712,0.9732,0.9724,0.9715,0.9704,0.9733,0.9729,0.9719,0.9648,0.9707,0.9726,0.9677,0.9713,0.9737,0.9753,0.9765,0.9789,0.979,0.9736,0.9717,0.9724,0.9725,0.9761,0.9757,0.9725,0.9759,0.9744,0.9745,0.9725,0.9694,0.9726,0.978,0.9747,0.9722,0.9739,0.9719,0.9674,0.9693,0.9719,0.9741,0.9761,0.9742,0.9736,0.9723,0.9698,0.9705,0.9655,0.9655,0.969,0.9748,0.9697,0.9822,0.9804,0.9765,0.9754,0.9779,0.9756,0.9819,0.9805,0.9781,0.9742,0.9783,0.9751,0.9688,0.9733,0.9717,0.9762,0.9695,0.966,0.9762,0.9772,0.976,0.9726,0.9682,0.9679,0.9803,0.9769,0.9769,0.9751,0.9736,0.9649,0.9656,0.9733,0.9722,0.9507,0.9803,0.9647,0.9819,0.9728,0.9812,0.974,0.9717,0.9736,0.9824,0.9769,0.9738,0.9738,0.9689,0.9734
opt,0.8369,0.9737,0.6244,0.6065,0.9458,0.5,0.5735,0.8303,0.9539,0.9423,0.9447,0.863,0.8111,0.5317,0.8928,0.9449,0.9437,0.7192,0.7808,0.7886,0.8443,0.7987,0.8603,0.8907,0.9176,0.9131,0.9065,0.7316,0.7922,0.8374,0.8795,0.867,0.8604,0.7003,0.7793,0.8126,0.8833,0.8587,0.8624,0.839,0.8308,0.8377,0.8737,0.8942,0.8863,0.745,0.7613,0.7688,0.8057,0.8227,0.7713,0.7374,0.7262,0.7517,0.7703,0.8043,0.7352,0.7562,0.8525,0.8577,0.8942,0.8936,0.9018,0.7192,0.7808,0.7886,0.8443,0.8578,0.8777,0.6896,0.7696,0.7833,0.8254,0.8421,0.8638,0.6439,0.7489,0.7483,0.884,0.8541,0.8257,0.6186,0.6537,0.6964,0.7525,0.7399,0.759,0.6069,0.6599,0.6544,0.6583,0.7208,0.6902,0.6352,0.6526,0.6904,0.7712,0.7758,0.7926,0.5959,0.6504,0.6862,0.6969,0.7131,0.7406,0.6022,0.6438,0.6924,0.7286,0.7063,0.729,0.5936,0.6069,0.602,0.5782,0.6005,0.645,0.5778,0.5779,0.582,0.6051,0.5877,0.5713,0.5847,0.582,0.5897,0.5986,0.605,0.5765
sat,0.7972,0.8441,0.7568,0.5843,0.8756,0.6614,0.6545,0.7746,0.7774,0.8282,0.8222,0.8971,0.7369,0.8594,0.8276,0.8482,0.8486,0.8242,0.8414,,0.8179,0.8215,0.8187,0.8178,0.8189,0.8303,0.8268,0.8335,0.8297,0.8163,0.8157,0.8239,0.8257,0.8309,0.8255,0.8149,0.8176,0.8232,0.8281,0.8389,0.8204,0.8145,0.8201,0.8273,0.828,0.8293,0.8021,0.8142,0.8196,0.8155,0.8239,0.8175,0.8001,0.8134,0.8238,0.8076,0.8245,0.8341,0.8192,0.8213,0.8206,,0.8335,0.8242,0.8414,,0.8179,,0.8321,0.8413,,,0.8235,,,0.8337,,,0.8286,,,0.8123,,,0.787,,,0.7939,,,0.786,,,0.823,,,0.8354,,,0.8182,,,,,,0.8246,,,,,,0.8008,,,,,,0.7568,,,,,,0.7468,,,,,
AVG_AUC,0.8762,0.8979,0.8299,0.7776,0.8951,0.7415,0.7857,0.6804,0.7569,0.8066,0.8826,0.8485,0.8493,0.8283,0.879,0.8967,0.8937,0.8351,0.8372,0.8501,0.8515,0.836,0.85,0.8609,0.8684,0.8649,0.8675,0.8341,0.8396,0.8498,0.8611,0.8588,0.8597,0.8293,0.8359,0.8431,0.8615,0.8562,0.8592,0.8546,0.8487,0.8506,0.8602,0.8685,0.8614,0.8504,0.8503,0.8479,0.8619,0.8617,0.855,0.8482,0.8426,0.8411,0.8566,0.8568,0.852,0.8383,0.8482,0.8531,0.8622,0.8803,0.8726,0.8351,0.8372,0.8501,0.8515,0.8597,0.8627,0.8315,0.845,0.8467,0.852,0.8607,0.8708,0.8144,0.8347,0.8344,0.8605,0.8745,0.8594,0.8223,0.8374,0.849,0.8455,0.8597,0.8603,0.8198,0.8426,0.8397,0.8274,0.8565,0.8424,0.8205,0.8093,0.8239,0.8446,0.8397,0.8431,0.8193,0.8272,0.8278,0.8281,0.8273,0.8399,0.8248,0.8263,0.8278,0.838,0.8338,0.8342,0.8188,0.8276,0.8141,0.8081,0.8216,0.83,0.8118,0.8247,0.8312,0.834,0.8202,0.819,0.8148,0.8264,0.8315,0.8292,0.8193,0.8173
AVG_RANK,25.0,37.1667,46.1667,68.5,21.8333,77.8333,73.0,104.8333,97.5,89.1667,31.5,76.0,39.6667,61.0,22.0,15.1667,16.6667,69.5,72.5,71.7,73.0,80.0,72.0,64.3333,56.0,61.5,52.6667,67.3333,77.3333,73.5,59.0,56.6667,56.6667,73.0,80.6667,76.0,56.5,64.3333,63.0,62.1667,69.3333,71.0,59.3333,42.5,51.0,42.8333,44.3333,50.6667,39.5,49.5,46.0,55.0,53.3333,59.1667,44.8333,45.3333,40.5,66.3333,75.5,71.0,58.3333,37.6,35.5,69.5,72.5,71.7,73.0,71.4,53.5,66.5,67.4,70.2,59.6667,65.2,55.6,86.5,93.4,94.6,63.0,40.0,65.6,61.3333,50.2,48.6,51.0,33.8,40.4,60.3333,44.2,49.4,61.5,35.4,56.2,77.5,101.2,93.8,55.8333,90.2,90.2,61.8333,66.4,74.0,83.6,98.0,81.6,52.3333,65.4,73.6,67.4,75.8,87.8,79.3333,60.6,90.4,88.6,61.2,81.4,59.3333,63.0,46.2,54.4,72.2,67.0,55.0,54.8,54.4,60.8,80.0,73.2
