dataset,MCM,DRL,Disent,MemPAE-ws-pos-d64-lr0.001-t0.1
contamination_0.01_thy,0.8322 ± 0.0067,0.7954 ± 0.0103,0.8393 ± 0.0087,0.8202 ± 0.0077
contamination_0.03_thy,0.7057 ± 0.0090,0.6907 ± 0.0102,0.7113 ± 0.0141,0.7037 ± 0.0073
contamination_0.05_thy,0.6459 ± 0.0046,0.6384 ± 0.0071,0.6507 ± 0.0094,0.6424 ± 0.0106
AVG_AUC,0.7279 ± 0.0068,0.7082 ± 0.0092,0.7338 ± 0.0107,0.7221 ± 0.0085
AVG_RANK,2.0000,4.0000,1.0000,3.0000
