model,breastw,pima,shuttle,thyroid,AVG
DRL,0.974934976817822,0.6979462686567164,0.9965298112345,0.9587429873772791,0.9070385110215794
IForest,0.9912953748727806,0.725023880597015,0.9964107252693909,0.9884770920991116,0.9253017682095744
KNN,0.995295714124166,0.6738597014925374,0.9959108584944711,0.9436909770920991,0.9021893128008183
LOF,0.9938802819555959,0.677594776119403,0.9951974304722591,0.9503108929406265,0.9042458453719711
MCM,0.9882468242300877,0.696444776119403,0.9972570578521494,0.9836138382421693,0.9163906241109523
OCSVM,0.9941535677937352,0.5641477611940298,0.9970499644847663,0.8523953950444133,0.8519366721292362
Perceiver-d16-dcol0.1,0.9900354329224621,0.7018701492537314,0.9960526488923511,0.9842081580177652,0.9180415972715775
Perceiver-d16-dcol0.3,0.9901673640167366,0.7057358208955224,0.9966109971227806,0.9843034128097242,0.919204398711191
Perceiver-d16-dcol0.5,0.9875475894304346,0.7042402985074627,0.9966362301017254,0.9787692847124825,0.9167983506880264
Perceiver-d32-dcol0.1,0.9901447472577178,0.7153940298507463,0.9940254771239172,0.9822276764843384,0.9204479826791799
Perceiver-d32-dcol0.3,0.9890252176863055,0.7241880597014925,0.997313610564877,0.9831106825619449,0.9234093926286548
Perceiver-d32-dcol0.5,0.9891420709412342,0.7038149253731343,0.9969104339711246,0.9823521505376345,0.9180548952057819
Perceiver-d8-dcol0.1,0.989307927174036,0.7082656716417911,0.9970808206205108,0.9848556568489949,0.9198775190713332
Perceiver-d8-dcol0.3,0.9894134720494552,0.7144283582089551,0.9963379191343318,0.9852074567554933,0.9213468015370588
Perceiver-d8-dcol0.5,0.9892231143277168,0.6925373134328358,0.9965811281634522,0.984075502571295,0.9156042646238249
