dataset,MCM,DRL,Disent,MemPAE-ws-pos-d64-lr0.001-t0.1
arrhythmia,0.6057,0.5252,0.6025,0.6194
breastw,0.9864,0.9766,0.9828,0.9819
cardio,,,,
cardiotocography,,,,
mammography,,,,
glass,0.2191,0.3139,0.1249,0.2553
ionosphere,0.9735,0.9663,0.9457,0.9715
wbc,0.5635,0.6619,0.7169,0.7307
wine,0.7398,0.7235,0.8337,0.7649
pima,0.6309,0.6622,0.6574,0.7004
pendigits,0.7544,0.5049,0.6057,0.8029
thyroid,0.6951,0.6902,0.7664,0.7399
shuttle,0.9695,0.9843,0.967,0.9786
satimage-2,0.5871,0.9271,0.9692,0.9777
satellite,0.8543,0.879,0.7769,0.864
optdigits,0.3208,0.222,0.0722,0.2023
campaign,0.5077,0.4583,0.4956,0.4969
nslkdd,0.9739,0.9617,0.8556,0.9718
fraud,0.7057,0.577,0.1253,
AVG_AUC,0.693,0.6896,0.6561,0.7372
