model,breastw,pima,shuttle,thyroid,AVG
DRL,0.984,0.7318,0.9985,0.9165,0.9077
IForest,0.9949,0.7354,0.9959,0.9882,0.9286
KNN,0.9955,0.7006,0.997,0.9586,0.9129
LOF,0.9885,0.7059,0.9976,0.9708,0.9157
MCM,0.9918,0.7639,0.9993,0.9847,0.9349
OCSVM,0.9942,0.7128,0.9983,0.8578,0.8908
Perceiver-d16-dcol0.1,0.9846,0.721,0.9986,,0.9014
Perceiver-d16-dcol0.3,0.9878,0.7208,0.9988,,0.9024
Perceiver-d16-dcol0.5,0.986,0.7196,0.9985,,0.9013
Perceiver-d32-dcol0.1,0.9887,0.7163,0.9984,,0.9011
Perceiver-d32-dcol0.3,0.9911,0.7101,0.9987,,0.9
Perceiver-d32-dcol0.5,0.9862,0.7213,0.9987,,0.9021
Perceiver-d8-dcol0.1,0.9891,0.7168,0.9969,0.982,0.9212
Perceiver-d8-dcol0.3,0.9896,0.7137,0.9982,0.9825,0.921
Perceiver-d8-dcol0.5,0.9893,0.7257,0.9976,0.9814,0.9235
