model,arrhythmia,breastw,cardio,campaign,cardiotocography,glass,ionosphere,mammography,optdigits,pima,pendigits,satellite,thyroid,wbc,wine,AVG_AUC
Perceiver-d16-dcol0.1,0.6074,0.9902,0.8373,0.4382,0.7494,0.1553,0.9228,0.401,0.0646,0.6957,0.3831,0.7961,0.7921,0.7706,0.6719,0.6184
Perceiver-d16-dcol0.3,0.6139,0.989,0.8459,0.444,0.7365,0.161,0.9356,0.3866,0.0943,0.6937,0.3551,0.8425,0.7986,0.7729,0.6598,0.622
Perceiver-d16-dcol0.5,0.613,0.9897,0.8364,0.457,0.7181,0.1659,0.9483,0.3926,0.1356,0.6948,0.4269,0.8422,0.7993,0.7763,0.7093,0.6337
Perceiver-d32-dcol0.1,0.6122,0.9903,0.8522,0.4737,0.7418,0.1501,0.9183,0.4019,0.058,0.6987,0.3828,0.7771,0.7883,0.7717,0.6379,0.617
Perceiver-d32-dcol0.3,0.6117,0.9902,0.8554,0.4417,0.736,0.1577,0.9217,0.4003,0.0646,0.6948,0.3706,0.7907,0.7972,0.7692,0.7021,0.6203
Perceiver-d32-dcol0.5,0.6134,0.9898,0.8542,0.4595,0.7385,0.1557,0.9371,0.4055,0.0683,0.695,0.3662,0.8117,0.7925,0.7683,0.6441,0.62
Perceiver-d8-dcol0.1,0.6096,0.9899,0.8629,0.4376,0.7349,0.1562,0.9206,0.3767,0.0668,0.6944,0.3715,0.8031,0.7993,0.767,0.6581,0.6166
Perceiver-d8-dcol0.3,0.6128,0.9893,0.838,0.4644,0.7259,0.1574,0.9413,0.3734,0.0936,0.6943,0.3186,0.8518,0.7973,0.7584,0.7065,0.6215
Perceiver-d8-dcol0.5,0.6136,0.9877,0.8525,0.4671,0.7148,0.1644,0.9555,0.3869,0.0963,0.6949,0.3339,0.8498,0.8038,0.7553,0.6427,0.6213
RIN-d16-dcol0.1,0.6081,0.99,0.8573,0.472,0.7416,0.1646,0.9282,0.406,0.0599,0.6916,0.3914,0.7765,0.8033,0.772,0.6899,0.6235
RIN-d16-dcol0.3,0.6088,0.9896,0.8541,0.471,0.7349,0.1635,0.9333,0.3925,0.0618,0.6969,0.3473,0.8071,0.8102,0.774,0.6928,0.6225
RIN-d16-dcol0.5,0.6096,0.9896,0.8565,0.4749,0.732,0.164,0.9458,0.3912,0.0628,0.6946,0.3296,0.818,0.8029,0.7702,0.6413,0.6189
RIN-d32-dcol0.1,0.6077,0.9902,0.8452,0.477,0.7229,0.1623,0.9222,0.3995,0.0578,0.6963,0.363,0.7828,0.8013,0.7697,0.6352,0.6155
RIN-d32-dcol0.3,0.6051,0.9897,0.8561,0.4719,0.7384,0.1627,0.9288,0.3784,0.0596,0.6892,0.3819,0.7909,0.7906,0.7737,0.5899,0.6138
RIN-d32-dcol0.5,0.6052,0.9899,0.8532,0.4732,0.7395,0.1581,0.9247,0.3996,0.059,0.6894,0.4,0.7971,0.7947,0.7745,0.6373,0.6197
RIN-d8-dcol0.1,0.6109,0.9902,0.8573,0.4784,0.739,0.1626,0.9288,0.3892,0.0622,0.6907,0.411,0.8109,0.8022,0.7758,0.6305,0.6227
RIN-d8-dcol0.3,0.6124,0.9895,0.8582,0.4637,0.7363,0.1609,0.9272,0.3797,0.0614,0.6917,0.3742,0.819,0.7939,0.7688,0.6879,0.6217
RIN-d8-dcol0.5,0.6103,0.9905,0.8525,0.4746,0.7278,0.1582,0.9268,0.3933,0.06,0.6958,0.3172,0.8137,0.7995,0.7728,0.6402,0.6155
