model,arrhythmia,breastw,cardio,campaign,cardiotocography,glass,ionosphere,mammography,optdigits,pima,pendigits,satellite,thyroid,wbc,wine,AVG_AUC
MemPAE-ws-pos_query-d16-lr0.001-t0.1,0.6161,0.9859,0.7855,0.4983,0.6442,0.2666,0.979,0.4216,0.2576,0.6951,0.7252,0.8708,0.7566,0.7751,0.8037,0.6721
MemPAE-ws-pos_query-d16-lr0.005-t0.1,0.6158,0.9819,0.7619,0.4853,0.6348,0.3069,0.9784,0.392,0.3101,0.6915,0.8416,0.8631,0.7463,0.777,0.7947,0.6788
MemPAE-ws-pos_query-d16-lr0.01-t0.1,0.6153,0.9827,0.7661,0.4825,0.6354,0.2935,0.9784,0.4011,0.3709,0.6941,0.8378,0.8598,0.7574,0.7867,0.7438,0.6804
MemPAE-ws-pos_query-d16-lr0.05-t0.1,0.6122,0.9834,0.7826,0.4787,0.6465,0.2094,0.933,0.3971,0.1851,0.6946,0.7774,0.841,0.6907,0.7701,0.6706,0.6448
MemPAE-ws-pos_query-d32-lr0.001-t0.1,0.6127,0.9844,0.8114,0.4944,0.6721,0.286,0.9803,0.4164,0.2318,0.6907,0.8633,0.87,0.7622,0.7854,0.8129,0.6849
MemPAE-ws-pos_query-d32-lr0.005-t0.1,0.6152,0.984,0.8029,0.479,0.6492,0.3006,0.9783,0.4114,0.2236,0.6919,0.8436,0.8614,0.7505,0.7991,0.7743,0.6777
MemPAE-ws-pos_query-d32-lr0.01-t0.1,0.6149,0.9814,0.7608,0.4857,0.636,0.2669,0.9715,0.4019,0.3546,0.6815,0.8757,0.8633,0.7786,0.7801,0.7699,0.6815
MemPAE-ws-pos_query-d32-lr0.05-t0.1,0.6125,0.9893,0.8565,0.443,0.7248,0.1592,0.9166,0.3314,0.0903,0.6961,0.5096,0.8177,0.7531,0.7619,0.6765,0.6226
MemPAE-ws-pos_query-d64-lr0.001-t0.1,0.6113,0.9844,0.8442,0.5105,0.6811,0.2909,0.9772,0.4196,0.2204,0.6986,0.8679,0.8657,0.7566,0.7837,0.826,0.6892
MemPAE-ws-pos_query-d64-lr0.005-t0.1,0.6137,0.9799,0.7549,0.4995,0.6252,0.2372,0.9693,0.4199,0.3313,0.6788,0.7978,0.866,0.7852,0.7748,0.7686,0.6735
MemPAE-ws-pos_query-d64-lr0.01-t0.1,0.6123,0.9847,0.742,0.479,0.6623,0.1896,0.9416,0.3797,0.2456,0.6891,0.8189,0.8445,0.7405,0.7752,0.7325,0.6558
MemPAE-ws-pos_query-d64-lr0.05-t0.1,0.6125,0.99,0.8565,0.4224,0.7405,0.157,0.9256,0.3676,0.0592,0.6927,0.3536,0.7836,0.7943,0.7674,0.6675,0.6127
PAE-d16-lr0.001,0.6119,0.9864,0.8013,0.4995,0.6589,0.3354,0.9807,0.4127,0.2268,0.683,0.758,0.874,0.7639,0.7736,0.7211,0.6725
PAE-d16-lr0.005,0.6088,0.986,0.7987,0.4907,0.6697,0.3311,0.9772,0.4216,0.2444,0.6822,0.8252,0.867,0.7625,0.7722,0.8099,0.6831
PAE-d16-lr0.01,0.6148,0.9837,0.7851,0.4813,0.6538,0.3633,0.9753,0.427,0.2604,0.6938,0.8134,0.8631,0.7664,0.7935,0.7939,0.6846
PAE-d16-lr0.05,0.613,0.9825,0.7218,0.4941,0.6227,0.2202,0.9661,0.3798,0.2646,0.6935,0.8272,0.8419,0.7521,0.7719,0.7091,0.6574
PAE-d32-lr0.001,0.6041,0.9875,0.8489,0.5065,0.6928,0.3411,0.9805,0.4094,0.1847,0.6994,0.8615,0.876,0.7472,0.7975,0.7783,0.6877
PAE-d32-lr0.005,0.6077,0.9865,0.8174,0.5006,0.6858,0.3488,0.9762,0.4304,0.1904,0.6806,0.874,0.8674,0.7447,0.7763,0.7964,0.6855
PAE-d32-lr0.01,0.6155,0.9829,0.8113,0.4965,0.6652,0.3074,0.9769,0.4103,0.1873,0.6813,0.8812,0.8658,0.7734,0.7643,0.834,0.6836
PAE-d32-lr0.05,0.6127,0.9872,0.8423,0.482,0.7193,0.163,0.9276,0.3738,0.1007,0.6904,0.5672,0.8305,0.7289,0.7749,0.6679,0.6312
PAE-d64-lr0.001,0.5971,0.9876,0.8545,0.5098,0.7055,0.28,0.9801,0.4222,0.1713,0.6856,0.9016,0.8801,0.7625,0.7933,0.7691,0.6867
PAE-d64-lr0.005,0.6049,0.9861,0.8247,0.4997,0.6875,0.3015,0.9753,0.4248,0.1584,0.6838,0.9079,0.8694,0.777,0.7715,0.793,0.6844
PAE-d64-lr0.01,0.6145,0.98,0.7683,0.5025,0.6475,0.2755,0.9757,0.4252,0.2126,0.6704,0.8616,0.8622,0.7953,0.7816,0.8172,0.6793
PAE-d64-lr0.05,0.6125,0.9871,0.8551,0.4312,0.7389,0.1545,0.9235,0.3856,0.0678,0.6945,0.3692,0.8044,0.7735,0.773,0.6579,0.6152
PAE-pos_query-d16-lr0.001,0.6119,0.9864,0.8013,,0.6589,0.3354,0.9807,,,0.683,,,0.7639,0.7736,0.7211,0.7316
PAE-pos_query-d16-lr0.005,0.6088,0.986,0.7987,,0.6697,0.3311,0.9772,,,0.6822,,,0.7625,0.7722,0.8099,0.7398
PAE-pos_query-d16-lr0.01,0.6148,0.9837,0.7851,,0.6538,0.3633,0.9753,,,0.6938,,,0.7664,0.7935,0.7939,0.7424
PAE-pos_query-d16-lr0.05,0.613,0.9825,0.7218,,0.6227,0.2202,0.9661,,,0.6935,,,0.7521,0.7719,0.7091,0.7053
PAE-pos_query-d32-lr0.001,0.6041,0.9875,0.8489,,0.6928,0.3411,0.9805,,,0.6994,,,0.7472,0.7975,0.7783,0.7477
PAE-pos_query-d32-lr0.005,0.6077,0.9865,0.8174,,0.6858,0.3488,0.9762,,,0.6806,,,0.7447,0.7763,0.7964,0.742
PAE-pos_query-d32-lr0.01,0.6155,0.9829,0.8113,,0.6652,0.3074,0.9769,,,0.6813,,,0.7734,0.7643,0.834,0.7412
