,tree,tree_norm,head1_self,head_sum_self,head1_no_self,head_sum_no_self
feature_0,0.0576,0.0576,0.1512,0.1512,0.0566,0.0566
feature_1,0.1454,0.1454,0.185,0.185,0.0699,0.0699
feature_2,0.0651,0.0651,0.2555,0.2555,0.0968,0.0968
feature_3,0.0445,0.0445,0.1796,0.1796,0.0673,0.0673
feature_4,0.034,0.034,0.1252,0.1252,0.0475,0.0475
feature_5,0.0659,0.0659,0.1943,0.1943,0.0729,0.0729
feature_6,0.0735,0.0735,0.2279,0.2279,0.0857,0.0857
feature_7,0.0277,0.0277,0.263,0.263,0.0997,0.0997
feature_8,0.0495,0.0495,0.2685,0.2685,0.1009,0.1009
feature_9,0.0569,0.0569,0.288,0.288,0.1079,0.1079
feature_10,0.38,0.38,0.2128,0.2128,0.0803,0.0803
rank_correlation,1.0,1.0,-0.0364,-0.0364,-0.0364,-0.0364
cosine_similarity,1.0,1.0,0.6637,0.6637,0.6642,0.6642
