,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.0658,0.0424,1.2889,1.2662,1.2995,1.2871,5.1417,0.1142,0.0769,0.0552,0.0611,0.3074
feature_1,-0.2392,0.1543,1.3692,1.4058,1.3495,1.3707,5.4953,0.0808,0.0768,0.0848,0.0919,0.3344
feature_2,-0.0125,0.0081,1.2191,1.1812,1.2319,1.216,4.8483,0.1004,0.073,0.054,0.0827,0.3102
feature_3,0.2002,0.1291,1.3541,1.3334,1.3501,1.3614,5.3988,0.0867,0.1093,0.0639,0.0834,0.3434
feature_4,-0.0344,0.0222,1.2619,1.2828,1.2539,1.2531,5.0517,0.075,0.0696,0.0999,0.0908,0.3354
feature_5,0.1284,0.0828,1.3162,1.357,1.3242,1.3105,5.3079,0.089,0.0882,0.0616,0.0968,0.3356
feature_6,-0.1681,0.1084,1.4386,1.4613,1.4385,1.4337,5.7721,0.0824,0.0796,0.0946,0.09,0.3466
feature_7,-0.1353,0.0873,1.426,1.4225,1.4196,1.4414,5.7095,0.0601,0.0813,0.086,0.1176,0.3449
feature_8,0.0551,0.0355,1.2853,1.2862,1.2828,1.2827,5.1371,0.0686,0.098,0.0543,0.0868,0.3077
feature_9,0.1204,0.0776,1.2454,1.1968,1.2612,1.2502,4.9535,0.0784,0.0947,0.0738,0.0753,0.3222
feature_10,0.3912,0.2523,1.3739,1.3781,1.3743,1.3857,5.5119,0.0857,0.074,0.1382,0.052,0.3499
rank_correlation,0.1364,1.0,0.8091,0.7455,0.8273,0.8,0.8091,-0.0182,0.1818,0.5545,0.0364,0.7
cosine_similarity,0.3753,1.0,0.824,0.8268,0.8226,0.8258,0.8248,0.7847,0.7992,0.896,0.7521,0.8243
