,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head5_self,head6_self,head7_self,head8_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head5_no_self,head6_no_self,head7_no_self,head8_no_self,head_sum_no_self
feature_0,0.0482,0.0139,0.5515,0.8811,0.9431,0.7982,0.7638,0.9505,0.9747,0.6812,6.5441,0.0249,0.0332,0.0224,0.0121,0.0194,0.0483,0.0222,0.063,0.2455
feature_1,-0.0695,0.0201,0.8489,0.8528,0.8611,0.8671,0.9001,0.8166,0.9074,0.9107,6.9647,0.0236,0.131,0.0306,0.0517,0.0149,0.0767,0.0581,0.0612,0.4477
feature_2,0.2017,0.0583,1.3642,1.0381,0.9722,1.1089,1.1046,1.0184,0.92,1.1676,8.6941,0.0321,0.0668,0.0677,0.0684,0.0611,0.055,0.1639,0.0385,0.5535
feature_3,0.0765,0.0221,0.6829,1.1863,0.8688,1.0547,0.9083,1.2565,0.784,0.7606,7.5021,0.4338,0.0288,0.108,0.04,0.0126,0.0446,0.0268,0.0372,0.7319
feature_4,-0.2021,0.0585,1.1111,0.7225,0.8392,0.7876,0.8029,0.7385,0.7715,0.8809,6.6543,0.0387,0.0232,0.0377,0.0427,0.1169,0.0307,0.0357,0.0291,0.3548
feature_5,-0.729,0.2109,0.8808,0.9973,0.9717,0.9633,0.9368,1.0253,0.949,0.8971,7.6213,0.0396,0.0906,0.0345,0.0418,0.0143,0.046,0.0368,0.0667,0.3703
feature_6,-0.4608,0.1333,0.6779,1.1763,1.2334,1.0683,1.0508,1.2214,1.3126,0.9431,8.6838,0.0216,0.0444,0.0501,0.0147,0.0438,0.0657,0.115,0.0469,0.4022
feature_7,0.623,0.1802,0.4373,0.6788,0.7316,0.6227,0.6207,0.6994,0.7831,0.5802,5.1538,0.0353,0.0143,0.0353,0.0339,0.0172,0.0461,0.0216,0.0633,0.267
feature_8,-0.1164,0.0337,1.5652,1.1178,1.0927,1.1895,1.1586,1.1348,0.9698,1.2416,9.4699,0.0522,0.0156,0.0264,0.0263,0.1309,0.0497,0.0486,0.1078,0.4574
feature_9,0.2737,0.0792,1.2194,0.9309,0.8919,1.0067,1.039,0.8712,0.8702,1.1042,7.9336,0.0453,0.0245,0.0166,0.0712,0.0728,0.1679,0.18,0.0802,0.6584
feature_10,-0.0112,0.0032,0.6237,0.4878,0.976,0.5449,0.7187,0.4535,1.1755,0.8006,5.7808,0.0184,0.0335,0.0371,0.0154,0.0418,0.0113,0.0238,0.078,0.2593
feature_11,-0.204,0.059,1.286,1.0715,1.0097,1.1308,1.163,1.0011,1.0007,1.2275,8.8904,0.0392,0.1361,0.1764,0.1923,0.0393,0.0482,0.0274,0.026,0.6849
feature_12,-0.1029,0.0298,1.7659,1.8577,1.5307,1.7969,1.6088,1.9718,1.3221,1.5324,13.3863,0.0274,0.1714,0.2171,0.1076,0.0272,0.0491,0.0344,0.0651,0.6993
feature_13,-0.1789,0.0518,0.8544,0.7296,0.6958,0.7758,0.8236,0.6596,0.7217,0.8673,6.1277,0.0376,0.0778,0.0219,0.0247,0.0289,0.0977,0.1028,0.0718,0.4632
feature_14,-0.1098,0.0318,0.6161,0.5119,0.8823,0.5511,0.6771,0.4944,1.0242,0.7382,5.4953,0.0176,0.0153,0.0535,0.0355,0.0387,0.026,0.0221,0.0642,0.2729
feature_15,-0.049,0.0142,0.6199,0.8592,0.7564,0.79,0.7168,0.9104,0.7132,0.6466,6.0125,0.097,0.0267,0.0446,0.0268,0.0178,0.034,0.0193,0.0678,0.334
rank_correlation,-0.2971,1.0,0.2412,0.1647,0.0382,0.2059,0.2676,0.15,-0.0882,0.2618,0.2471,0.2,-0.0529,-0.0441,0.2941,0.1794,0.2735,0.4088,-0.1471,0.2
cosine_similarity,-0.2759,1.0,0.6362,0.6909,0.7069,0.686,0.6942,0.6849,0.7123,0.6837,0.6937,0.2802,0.5501,0.4599,0.538,0.5166,0.6685,0.6142,0.6731,0.6505
