,reg,reg_abs,head1_self,head_sum_self,head1_no_self,head_sum_no_self
feature_144,-0.0489,0.0017,0.0044,0.0044,0.0017,0.0017
feature_145,0.0469,0.0016,0.0038,0.0038,0.0014,0.0014
feature_146,-0.0188,0.0007,0.0044,0.0044,0.0016,0.0016
feature_147,0.0254,0.0009,0.0048,0.0048,0.0019,0.0019
feature_148,-0.0352,0.0012,0.004,0.004,0.0015,0.0015
feature_149,0.0288,0.001,0.0045,0.0045,0.0016,0.0016
feature_150,-0.026,0.0009,0.0036,0.0036,0.0014,0.0014
feature_151,-0.0381,0.0013,0.0045,0.0045,0.0019,0.0019
feature_152,0.0539,0.0019,0.0041,0.0041,0.0016,0.0016
feature_153,0.0188,0.0007,0.0049,0.0049,0.0021,0.0021
feature_154,-0.0439,0.0015,0.0037,0.0037,0.0014,0.0014
feature_155,-0.0303,0.001,0.0042,0.0042,0.0015,0.0015
feature_156,-0.0502,0.0017,0.0037,0.0037,0.0013,0.0013
feature_157,0.0975,0.0034,0.0039,0.0039,0.0014,0.0014
feature_158,-0.002,1e-04,0.0044,0.0044,0.0017,0.0017
feature_159,0.0252,0.0009,0.0043,0.0043,0.0017,0.0017
feature_160,0.0395,0.0014,0.0046,0.0046,0.0018,0.0018
feature_161,0.0601,0.0021,0.0047,0.0047,0.0018,0.0018
feature_162,-0.0222,0.0008,0.0043,0.0043,0.0016,0.0016
feature_163,-0.0186,0.0006,0.0041,0.0041,0.0015,0.0015
feature_164,0.0007,0.0,0.0046,0.0046,0.0018,0.0018
feature_165,-0.0168,0.0006,0.004,0.004,0.0014,0.0014
feature_166,0.0052,0.0002,0.0048,0.0048,0.0018,0.0018
feature_167,-0.0168,0.0006,0.0044,0.0044,0.0018,0.0018
feature_168,0.0661,0.0023,0.0038,0.0038,0.0013,0.0013
feature_169,0.0447,0.0015,0.0047,0.0047,0.0018,0.0018
feature_170,-0.1,0.0035,0.0042,0.0042,0.0016,0.0016
feature_171,0.0224,0.0008,0.0035,0.0035,0.0013,0.0013
feature_172,0.0596,0.0021,0.0045,0.0045,0.0018,0.0018
feature_173,-0.0124,0.0004,0.0042,0.0042,0.0016,0.0016
feature_174,0.0026,1e-04,0.0047,0.0047,0.0018,0.0018
feature_175,0.0495,0.0017,0.0053,0.0053,0.0018,0.0018
feature_176,-0.0015,1e-04,0.0049,0.0049,0.0019,0.0019
feature_177,0.1113,0.0038,0.0041,0.0041,0.0016,0.0016
feature_178,-0.0425,0.0015,0.0037,0.0037,0.0016,0.0016
feature_179,0.0239,0.0008,0.0041,0.0041,0.0015,0.0015
feature_180,-0.0485,0.0017,0.0042,0.0042,0.0015,0.0015
feature_181,0.0588,0.002,0.0035,0.0035,0.0013,0.0013
feature_182,-0.0116,0.0004,0.0054,0.0054,0.0021,0.0021
feature_183,0.0126,0.0004,0.0045,0.0045,0.0017,0.0017
feature_184,-0.0634,0.0022,0.0042,0.0042,0.0016,0.0016
feature_185,0.0037,1e-04,0.0043,0.0043,0.0016,0.0016
feature_186,-0.011,0.0004,0.0042,0.0042,0.0014,0.0014
feature_187,-0.053,0.0018,0.0053,0.0053,0.0021,0.0021
