,reg,reg_abs,head1_self,head_sum_self,head1_no_self,head_sum_no_self
feature_436,-0.012,0.0004,0.0046,0.0046,0.0017,0.0017
feature_437,0.0071,0.0002,0.0053,0.0053,0.0021,0.0021
feature_438,0.0117,0.0004,0.0039,0.0039,0.0014,0.0014
feature_439,-0.0291,0.001,0.0047,0.0047,0.0018,0.0018
feature_440,-0.0075,0.0003,0.0038,0.0038,0.0013,0.0013
feature_441,0.0274,0.0009,0.0036,0.0036,0.0014,0.0014
feature_442,-0.0129,0.0004,0.004,0.004,0.0015,0.0015
feature_443,0.0367,0.0013,0.005,0.005,0.0017,0.0017
feature_444,0.0064,0.0002,0.0047,0.0047,0.0017,0.0017
feature_445,0.0446,0.0015,0.0037,0.0037,0.0012,0.0012
feature_446,0.055,0.0019,0.004,0.004,0.0015,0.0015
feature_447,0.0556,0.0019,0.0043,0.0043,0.0016,0.0016
feature_448,0.0322,0.0011,0.0032,0.0032,0.0012,0.0012
feature_449,0.0202,0.0007,0.004,0.004,0.0015,0.0015
feature_450,-0.0173,0.0006,0.0044,0.0044,0.0018,0.0018
feature_451,0.0176,0.0006,0.0056,0.0056,0.0024,0.0024
feature_452,-0.4872,0.0169,0.0046,0.0046,0.0019,0.0019
feature_453,0.241,0.0083,0.0042,0.0042,0.0015,0.0015
feature_454,0.3024,0.0105,0.0045,0.0045,0.0016,0.0016
feature_455,0.3007,0.0104,0.0037,0.0037,0.0014,0.0014
feature_456,-0.9076,0.0314,0.0038,0.0038,0.0014,0.0014
feature_457,1.2506,0.0433,0.0044,0.0044,0.0018,0.0018
feature_458,-0.2849,0.0099,0.0048,0.0048,0.0018,0.0018
feature_459,-0.5475,0.0189,0.0037,0.0037,0.0013,0.0013
feature_460,-0.0005,0.0,0.0049,0.0049,0.0016,0.0016
feature_461,-0.0219,0.0008,0.0034,0.0034,0.0012,0.0012
feature_462,-0.0013,0.0,0.0039,0.0039,0.0015,0.0015
feature_463,0.1341,0.0046,0.0049,0.0049,0.0018,0.0018
feature_464,-0.1427,0.0049,0.0036,0.0036,0.0013,0.0013
feature_465,-0.1877,0.0065,0.0044,0.0044,0.0015,0.0015
feature_466,0.4328,0.015,0.0049,0.0049,0.0018,0.0018
feature_467,-0.2401,0.0083,0.0038,0.0038,0.0013,0.0013
feature_468,0.0616,0.0021,0.0049,0.0049,0.002,0.002
feature_469,-0.2297,0.0079,0.0047,0.0047,0.0017,0.0017
feature_470,0.3034,0.0105,0.0046,0.0046,0.0016,0.0016
feature_471,-0.0789,0.0027,0.0051,0.0051,0.0019,0.0019
feature_472,-0.0003,0.0,0.0037,0.0037,0.0014,0.0014
feature_473,0.032,0.0011,0.0049,0.0049,0.0019,0.0019
feature_474,0.0203,0.0007,0.0051,0.0051,0.0018,0.0018
feature_475,0.0402,0.0014,0.004,0.004,0.0016,0.0016
feature_476,-0.0574,0.002,0.004,0.004,0.0014,0.0014
feature_477,0.0385,0.0013,0.0042,0.0042,0.0015,0.0015
feature_478,-0.0149,0.0005,0.0039,0.0039,0.0014,0.0014
feature_479,-0.1834,0.0063,0.0047,0.0047,0.0017,0.0017
feature_480,0.0651,0.0023,0.0045,0.0045,0.0016,0.0016
feature_481,0.0053,0.0002,0.0039,0.0039,0.0013,0.0013
feature_482,-0.0218,0.0008,0.0045,0.0045,0.0015,0.0015
feature_483,0.0114,0.0004,0.0041,0.0041,0.0016,0.0016
feature_484,-0.022,0.0008,0.004,0.004,0.0015,0.0015
feature_485,-0.0488,0.0017,0.0044,0.0044,0.0016,0.0016
feature_486,0.051,0.0018,0.004,0.004,0.0013,0.0013
feature_487,0.0075,0.0003,0.004,0.004,0.0014,0.0014
feature_488,0.0624,0.0022,0.0046,0.0046,0.0018,0.0018
feature_489,-0.0476,0.0016,0.0044,0.0044,0.0015,0.0015
feature_490,0.0342,0.0012,0.0038,0.0038,0.0015,0.0015
feature_491,-0.0783,0.0027,0.0042,0.0042,0.0015,0.0015
feature_492,-0.0843,0.0029,0.005,0.005,0.0021,0.0021
feature_493,0.0286,0.001,0.0036,0.0036,0.0014,0.0014
feature_494,-0.0105,0.0004,0.0041,0.0041,0.0016,0.0016
feature_495,-0.0107,0.0004,0.0042,0.0042,0.0015,0.0015
feature_496,0.0271,0.0009,0.0034,0.0034,0.0012,0.0012
feature_497,-0.0514,0.0018,0.0046,0.0046,0.0018,0.0018
feature_498,0.0007,0.0,0.0036,0.0036,0.0014,0.0014
feature_499,-0.0026,1e-04,0.004,0.004,0.0016,0.0016
feature_500,0.0272,0.0009,0.0047,0.0047,0.0019,0.0019
feature_501,0.0237,0.0008,0.0034,0.0034,0.0013,0.0013
feature_502,-0.0048,0.0002,0.0036,0.0036,0.0013,0.0013
feature_503,-0.0539,0.0019,0.0052,0.0052,0.002,0.002
feature_504,0.0239,0.0008,0.0041,0.0041,0.0014,0.0014
feature_505,-0.0119,0.0004,0.003,0.003,0.0011,0.0011
feature_506,0.0118,0.0004,0.0042,0.0042,0.0017,0.0017
feature_507,0.0014,0.0,0.0035,0.0035,0.0013,0.0013
feature_508,-0.0129,0.0004,0.0039,0.0039,0.0014,0.0014
feature_509,-0.029,0.001,0.0042,0.0042,0.0017,0.0017
feature_510,0.039,0.0014,0.0049,0.0049,0.0019,0.0019
feature_511,0.0696,0.0024,0.0035,0.0035,0.0013,0.0013
feature_512,-0.0249,0.0009,0.0041,0.0041,0.0013,0.0013
feature_513,0.0426,0.0015,0.0042,0.0042,0.0014,0.0014
feature_514,-0.0073,0.0003,0.0052,0.0052,0.0022,0.0022
feature_515,-0.0183,0.0006,0.0044,0.0044,0.0018,0.0018
feature_516,0.0098,0.0003,0.0044,0.0044,0.0016,0.0016
feature_517,0.0199,0.0007,0.0042,0.0042,0.0016,0.0016
feature_518,0.0435,0.0015,0.0042,0.0042,0.0015,0.0015
feature_519,-0.0453,0.0016,0.0039,0.0039,0.0014,0.0014
feature_520,0.0073,0.0003,0.0044,0.0044,0.0018,0.0018
feature_521,0.0434,0.0015,0.0038,0.0038,0.0014,0.0014
feature_522,0.0216,0.0007,0.0043,0.0043,0.0015,0.0015
feature_523,0.0271,0.0009,0.0051,0.0051,0.0021,0.0021
feature_524,0.0289,0.001,0.0044,0.0044,0.0018,0.0018
feature_525,-0.0105,0.0004,0.0054,0.0054,0.002,0.002
feature_526,-0.0566,0.002,0.0043,0.0043,0.0016,0.0016
feature_527,-0.022,0.0008,0.0038,0.0038,0.0014,0.0014
feature_528,-0.0187,0.0006,0.004,0.004,0.0015,0.0015
feature_529,0.0315,0.0011,0.0046,0.0046,0.0017,0.0017
feature_530,0.0246,0.0009,0.0044,0.0044,0.0018,0.0018
feature_531,0.0497,0.0017,0.0046,0.0046,0.0017,0.0017
feature_532,-0.0753,0.0026,0.0047,0.0047,0.002,0.002
feature_533,0.0617,0.0021,0.0046,0.0046,0.0016,0.0016
feature_534,-0.0383,0.0013,0.0046,0.0046,0.0018,0.0018
feature_535,0.0105,0.0004,0.0051,0.0051,0.002,0.002
feature_536,-0.0316,0.0011,0.0054,0.0054,0.002,0.002
feature_537,-0.0118,0.0004,0.0049,0.0049,0.0019,0.0019
feature_538,0.0253,0.0009,0.0049,0.0049,0.0017,0.0017
feature_539,-0.0521,0.0018,0.0037,0.0037,0.0014,0.0014
feature_540,0.0175,0.0006,0.0046,0.0046,0.0019,0.0019
feature_541,0.1248,0.0043,0.0047,0.0047,0.0019,0.0019
feature_542,-0.0952,0.0033,0.0034,0.0034,0.0013,0.0013
feature_543,0.0124,0.0004,0.0041,0.0041,0.0016,0.0016
feature_544,0.0103,0.0004,0.0041,0.0041,0.0017,0.0017
feature_545,0.032,0.0011,0.005,0.005,0.0019,0.0019
feature_546,-0.1404,0.0049,0.0046,0.0046,0.0016,0.0016
feature_547,0.1244,0.0043,0.0042,0.0042,0.0016,0.0016
feature_548,0.0221,0.0008,0.0048,0.0048,0.0018,0.0018
feature_549,-0.0218,0.0008,0.0043,0.0043,0.0015,0.0015
feature_550,0.0311,0.0011,0.004,0.004,0.0015,0.0015
feature_551,-0.023,0.0008,0.0044,0.0044,0.0015,0.0015
feature_552,0.0067,0.0002,0.0047,0.0047,0.002,0.002
feature_553,-0.0388,0.0013,0.0046,0.0046,0.0017,0.0017
feature_554,-0.0069,0.0002,0.0043,0.0043,0.0016,0.0016
feature_555,0.002,1e-04,0.0042,0.0042,0.0017,0.0017
feature_556,0.0102,0.0004,0.004,0.004,0.0015,0.0015
feature_557,0.0087,0.0003,0.0046,0.0046,0.0016,0.0016
feature_558,0.0027,1e-04,0.0038,0.0038,0.0013,0.0013
feature_559,-0.0064,0.0002,0.0041,0.0041,0.0015,0.0015
feature_560,0.0004,0.0,0.0046,0.0046,0.0017,0.0017
feature_561,0.0321,0.0011,0.0037,0.0037,0.0014,0.0014
feature_562,-0.0166,0.0006,0.0034,0.0034,0.0013,0.0013
feature_563,-0.0741,0.0026,0.0033,0.0033,0.0012,0.0012
feature_564,0.0412,0.0014,0.0044,0.0044,0.0016,0.0016
feature_565,-0.0187,0.0006,0.004,0.004,0.0015,0.0015
feature_566,0.0052,0.0002,0.0042,0.0042,0.0016,0.0016
feature_567,0.0121,0.0004,0.0043,0.0043,0.0016,0.0016
feature_568,0.071,0.0025,0.0044,0.0044,0.0016,0.0016
feature_569,-0.0398,0.0014,0.0037,0.0037,0.0014,0.0014
feature_570,0.013,0.0004,0.0042,0.0042,0.0015,0.0015
feature_571,0.0334,0.0012,0.0045,0.0045,0.0018,0.0018
feature_572,-0.0056,0.0002,0.0041,0.0041,0.0015,0.0015
feature_573,-0.0279,0.001,0.0039,0.0039,0.0014,0.0014
feature_574,0.095,0.0033,0.0038,0.0038,0.0015,0.0015
feature_575,-0.0331,0.0011,0.0047,0.0047,0.0019,0.0019
feature_576,0.05,0.0017,0.0037,0.0037,0.0014,0.0014
feature_577,0.1925,0.0067,0.005,0.005,0.0017,0.0017
feature_578,0.0528,0.0018,0.0048,0.0048,0.0019,0.0019
feature_579,0.0072,0.0003,0.0038,0.0038,0.0014,0.0014
feature_580,-0.0202,0.0007,0.0046,0.0046,0.0017,0.0017
feature_581,0.0175,0.0006,0.0039,0.0039,0.0015,0.0015
feature_582,0.0074,0.0003,0.0044,0.0044,0.0016,0.0016
feature_583,0.0238,0.0008,0.0047,0.0047,0.0016,0.0016
feature_584,0.0116,0.0004,0.0051,0.0051,0.002,0.002
feature_585,0.0496,0.0017,0.0045,0.0045,0.0016,0.0016
feature_586,-0.0096,0.0003,0.0037,0.0037,0.0014,0.0014
feature_587,0.0312,0.0011,0.0049,0.0049,0.0019,0.0019
feature_588,-0.0518,0.0018,0.0035,0.0035,0.0014,0.0014
feature_589,0.0116,0.0004,0.0047,0.0047,0.0018,0.0018
feature_590,-0.0152,0.0005,0.0041,0.0041,0.0014,0.0014
feature_591,-0.037,0.0013,0.0035,0.0035,0.0011,0.0011
feature_592,-0.024,0.0008,0.0041,0.0041,0.0017,0.0017
feature_593,-0.0075,0.0003,0.0034,0.0034,0.0012,0.0012
feature_594,-0.0537,0.0019,0.0046,0.0046,0.0018,0.0018
feature_595,-0.0294,0.001,0.005,0.005,0.0019,0.0019
feature_596,0.0095,0.0003,0.0053,0.0053,0.0024,0.0024
feature_597,-0.0244,0.0008,0.0044,0.0044,0.0016,0.0016
feature_598,0.0008,0.0,0.0049,0.0049,0.0019,0.0019
feature_599,-0.0221,0.0008,0.0041,0.0041,0.0017,0.0017
feature_600,0.0037,1e-04,0.0041,0.0041,0.0016,0.0016
feature_601,0.0092,0.0003,0.0048,0.0048,0.0017,0.0017
feature_602,0.0011,0.0,0.0038,0.0038,0.0014,0.0014
feature_603,0.0076,0.0003,0.0049,0.0049,0.002,0.002
feature_604,-0.0134,0.0005,0.0039,0.0039,0.0015,0.0015
feature_605,-0.0128,0.0004,0.0041,0.0041,0.0015,0.0015
feature_606,-0.0272,0.0009,0.0054,0.0054,0.0021,0.0021
feature_607,0.0021,1e-04,0.0047,0.0047,0.0018,0.0018
feature_608,0.0487,0.0017,0.0039,0.0039,0.0014,0.0014
feature_609,-0.0391,0.0014,0.0037,0.0037,0.0015,0.0015
feature_610,0.0335,0.0012,0.004,0.004,0.0014,0.0014
feature_611,0.0106,0.0004,0.0058,0.0058,0.0024,0.0024
feature_612,-0.0033,1e-04,0.0048,0.0048,0.0019,0.0019
rank_correlation,0.0258,1.0,-0.0324,-0.0324,-0.0273,-0.0273
cosine_similarity,0.152,1.0,0.4875,0.4875,0.4856,0.4856
