,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.1215,0.0169,0.3758,0.3758,0.3673,0.3644,1.4833,0.0252,0.0108,0.029,0.0172,0.0822
feature_1,0.0125,0.0017,0.3892,0.4031,0.3897,0.4268,1.6088,0.0206,0.0436,0.0348,0.0223,0.1214
feature_2,-0.3214,0.0446,0.4304,0.4373,0.4546,0.4841,1.8063,0.0362,0.0436,0.0314,0.0224,0.1336
feature_3,-0.0167,0.0023,0.6691,0.664,0.4681,0.3513,2.1525,0.0234,0.0193,0.0235,0.0118,0.078
feature_4,0.1657,0.023,0.3633,0.3665,0.355,0.3588,1.4436,0.0375,0.0167,0.0153,0.0206,0.0901
feature_5,-0.2017,0.028,0.3591,0.3551,0.4216,0.4446,1.5805,0.0356,0.0291,0.0291,0.0123,0.1061
feature_6,0.5885,0.0817,0.5183,0.5069,0.3943,0.3004,1.7198,0.0098,0.0113,0.0187,0.0177,0.0575
feature_7,-0.1004,0.0139,0.53,0.4901,0.588,0.5155,2.1237,0.0286,0.0119,0.0358,0.0147,0.0911
feature_8,0.0865,0.012,0.4632,0.4645,0.3761,0.3358,1.6395,0.019,0.0281,0.0239,0.0202,0.0911
feature_9,-0.0053,0.0007,0.4075,0.3855,0.4408,0.4003,1.6341,0.0282,0.0164,0.0152,0.012,0.0718
feature_10,0.284,0.0394,0.3206,0.302,0.3672,0.341,1.3309,0.0242,0.0156,0.0193,0.0096,0.0687
feature_11,0.1041,0.0144,0.4175,0.3999,0.4102,0.3605,1.5881,0.0205,0.0116,0.0204,0.0236,0.0761
feature_12,0.0627,0.0087,0.5018,0.5272,0.4809,0.5338,2.0437,0.0385,0.0505,0.0176,0.0408,0.1473
feature_13,-1.6842,0.2337,0.6282,0.6187,0.4982,0.4083,2.1534,0.0263,0.0133,0.0324,0.0254,0.0974
feature_14,0.8667,0.1203,0.4847,0.4989,0.4446,0.4635,1.8916,0.0324,0.0155,0.019,0.0499,0.1168
feature_15,0.2459,0.0341,0.4783,0.4525,0.5439,0.5137,1.9884,0.0314,0.0296,0.0278,0.0187,0.1074
feature_16,0.2459,0.0341,0.4459,0.4208,0.5734,0.5687,2.0088,0.0277,0.0158,0.0288,0.0524,0.1246
feature_17,-0.1525,0.0212,0.4305,0.4395,0.3929,0.3988,1.6617,0.0276,0.0238,0.0223,0.0297,0.1033
feature_18,-0.1456,0.0202,0.5163,0.5043,0.5367,0.5158,2.0731,0.0218,0.0551,0.021,0.0303,0.1281
feature_19,-0.3186,0.0442,0.4749,0.4929,0.4334,0.4534,1.8546,0.0252,0.0153,0.0175,0.0828,0.1409
feature_20,0.3019,0.0419,0.6767,0.6768,0.7316,0.7584,2.8435,0.0241,0.0295,0.0516,0.0842,0.1893
feature_21,-0.08,0.0111,0.4075,0.4179,0.3652,0.3739,1.5645,0.0306,0.039,0.0223,0.0131,0.1049
feature_22,0.3531,0.049,0.4849,0.4902,0.4469,0.4438,1.8658,0.0448,0.0323,0.0166,0.0191,0.1128
feature_23,-0.4337,0.0602,0.3958,0.4123,0.3922,0.4351,1.6354,0.0402,0.0271,0.032,0.0205,0.1198
feature_24,-0.0289,0.004,0.5622,0.562,0.4926,0.4534,2.0701,0.0238,0.0448,0.0204,0.0416,0.1306
feature_25,-0.0202,0.0028,0.3966,0.4235,0.4019,0.4728,1.6948,0.0279,0.075,0.0337,0.0099,0.1464
feature_26,0.0031,0.0004,0.4317,0.4332,0.4547,0.4758,1.7955,0.0219,0.0183,0.0237,0.0668,0.1307
feature_27,-0.0197,0.0027,0.4292,0.4498,0.5035,0.5962,1.9787,0.0515,0.0455,0.0197,0.0683,0.1849
feature_28,-0.0162,0.0022,0.6256,0.5363,0.8455,0.7284,2.7357,0.0186,0.026,0.0442,0.018,0.1068
feature_29,-0.0031,0.0004,0.3914,0.4233,0.4203,0.5191,1.7542,0.0352,0.078,0.0336,0.0243,0.1711
feature_30,-0.0272,0.0038,0.5574,0.5703,0.5039,0.5052,2.1368,0.0242,0.0166,0.0405,0.0386,0.1198
feature_31,-0.0574,0.008,0.4348,0.4215,0.4008,0.3435,1.6006,0.0121,0.0107,0.013,0.0277,0.0636
feature_32,-0.1305,0.0181,0.5502,0.5848,0.5703,0.6713,2.3766,0.0627,0.0434,0.0579,0.0213,0.1853
rank_correlation,0.0531,1.0,0.1049,0.0943,-0.0408,-0.1394,0.0134,0.2263,-0.2991,-0.125,0.0752,-0.1116
cosine_similarity,-0.3597,1.0,0.5939,0.5942,0.549,0.5259,0.5688,0.5292,0.3539,0.5263,0.4927,0.5109
