,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.1215,0.0169,0.3209,0.378,0.3553,0.3623,1.4166,0.0387,0.0191,0.013,0.0167,0.0875
feature_1,0.0125,0.0017,0.719,0.6397,0.672,0.6701,2.7009,0.0301,0.0504,0.0426,0.0417,0.1648
feature_2,-0.3214,0.0446,0.2991,0.3458,0.3303,0.3315,1.3068,0.0135,0.0095,0.0295,0.0253,0.0779
feature_3,-0.0167,0.0023,0.4878,0.4636,0.4684,0.4747,1.8946,0.0491,0.036,0.0247,0.0085,0.1183
feature_4,0.1657,0.023,0.2847,0.2874,0.2867,0.2885,1.1472,0.0139,0.0295,0.0221,0.007,0.0725
feature_5,-0.2017,0.028,0.4603,0.5371,0.5148,0.5385,2.0506,0.0289,0.0309,0.018,0.0379,0.1156
feature_6,0.5885,0.0817,0.4731,0.4625,0.4698,0.4687,1.874,0.039,0.021,0.0303,0.0269,0.1172
feature_7,-0.1004,0.0139,0.5103,0.5805,0.5493,0.5449,2.185,0.0124,0.0394,0.0219,0.0561,0.1298
feature_8,0.0865,0.012,0.4041,0.4286,0.4215,0.43,1.6843,0.0165,0.0306,0.0302,0.0252,0.1025
feature_9,-0.0053,0.0007,0.2558,0.2483,0.2511,0.2524,1.0076,0.019,0.0122,0.0221,0.0081,0.0615
feature_10,0.284,0.0394,0.5405,0.532,0.5268,0.5272,2.1265,0.0496,0.0196,0.0487,0.0126,0.1305
feature_11,0.1041,0.0144,0.453,0.4171,0.4369,0.4285,1.7355,0.0217,0.0275,0.0165,0.0444,0.1101
feature_12,0.0627,0.0087,0.6183,0.6254,0.6083,0.6299,2.4819,0.0243,0.0158,0.0233,0.1023,0.1657
feature_13,-1.6841,0.2337,0.249,0.2685,0.2654,0.2581,1.041,0.02,0.0175,0.015,0.0097,0.0622
feature_14,0.8667,0.1203,0.4198,0.3923,0.3981,0.3917,1.6019,0.0435,0.0228,0.0217,0.0105,0.0984
feature_15,0.2459,0.0341,0.5418,0.5583,0.5612,0.534,2.1951,0.0343,0.0768,0.0196,0.008,0.1386
feature_16,0.2459,0.0341,0.3673,0.4234,0.3945,0.4102,1.5954,0.0253,0.0246,0.0154,0.0392,0.1044
feature_17,-0.1525,0.0212,0.4986,0.5116,0.5033,0.5014,2.0148,0.0291,0.0214,0.049,0.0261,0.1256
feature_18,-0.1456,0.0202,0.4648,0.4573,0.4671,0.4629,1.8521,0.0349,0.0352,0.0141,0.0335,0.1178
feature_19,-0.3186,0.0442,0.5633,0.4913,0.5137,0.5166,2.085,0.0423,0.0187,0.0382,0.0333,0.1325
feature_20,0.3019,0.0419,0.5148,0.4844,0.5027,0.4973,1.9993,0.0414,0.0307,0.0298,0.0251,0.127
feature_21,-0.08,0.0111,0.6323,0.6142,0.6167,0.6131,2.4764,0.0243,0.0153,0.034,0.0917,0.1653
feature_22,0.3531,0.049,0.7387,0.7314,0.7283,0.7438,2.9422,0.0937,0.0249,0.0319,0.0502,0.2005
feature_23,-0.4338,0.0602,0.5726,0.5269,0.5576,0.5307,2.1878,0.0455,0.009,0.0412,0.0409,0.1366
feature_24,-0.0289,0.004,0.6339,0.5498,0.5641,0.5824,2.3302,0.0251,0.069,0.0413,0.0062,0.1417
feature_25,-0.0202,0.0028,0.7586,0.7758,0.7822,0.7536,3.0702,0.0151,0.0589,0.0717,0.0554,0.2011
feature_26,0.0031,0.0004,0.3856,0.4404,0.4272,0.4025,1.6557,0.0184,0.0095,0.0621,0.0123,0.1023
feature_27,-0.0197,0.0027,0.3663,0.3496,0.357,0.3611,1.434,0.021,0.0442,0.0131,0.0093,0.0875
feature_28,-0.0162,0.0022,0.4949,0.4275,0.4527,0.4593,1.8344,0.0473,0.0181,0.0303,0.0158,0.1115
feature_29,-0.0031,0.0004,0.6127,0.607,0.6064,0.6125,2.4386,0.0311,0.0427,0.0433,0.0309,0.1479
feature_30,-0.0272,0.0038,0.4072,0.4733,0.45,0.4521,1.7826,0.0209,0.0563,0.0122,0.02,0.1094
feature_31,-0.0574,0.008,0.3365,0.4056,0.3788,0.39,1.5109,0.0106,0.0235,0.0268,0.0288,0.0897
feature_32,-0.1305,0.0181,0.6144,0.5653,0.5817,0.5796,2.3411,0.0198,0.0394,0.0462,0.0404,0.1458
rank_correlation,0.0531,1.0,-0.0859,-0.132,-0.0976,-0.1093,-0.1006,0.3058,-0.2791,-0.1661,0.0531,-0.0812
cosine_similarity,-0.3597,1.0,0.4836,0.4874,0.4879,0.4847,0.4862,0.5588,0.3858,0.4348,0.3625,0.4825
