,tree,tree_norm,head1_self,head_sum_self,head1_no_self,head_sum_no_self
feature_0,0.0415,0.0415,0.1509,0.1509,0.0571,0.0571
feature_1,0.047,0.047,0.2402,0.2402,0.0902,0.0902
feature_2,0.0091,0.0091,0.1353,0.1353,0.0512,0.0512
feature_3,0.4953,0.4953,0.135,0.135,0.0514,0.0514
feature_4,0.0064,0.0064,0.2419,0.2419,0.0917,0.0917
feature_5,0.005,0.005,0.1648,0.1648,0.0619,0.0619
feature_6,0.0729,0.0729,0.2148,0.2148,0.0819,0.0819
feature_7,0.0172,0.0172,0.244,0.244,0.0914,0.0914
feature_8,0.1722,0.1722,0.1773,0.1773,0.0673,0.0673
feature_9,0.0926,0.0926,0.2545,0.2545,0.0927,0.0927
feature_10,0.0135,0.0135,0.2226,0.2226,0.0831,0.0831
feature_11,0.0261,0.0261,0.1429,0.1429,0.0538,0.0538
feature_12,0.0013,0.0013,0.1946,0.1946,0.0723,0.0723
rank_correlation,1.0,1.0,-0.0604,-0.0604,-0.0275,-0.0275
cosine_similarity,1.0,1.0,0.4353,0.4353,0.4378,0.4378
