,tree,tree_norm,head1_self,head_sum_self,head1_no_self,head_sum_no_self
feature_0,0.1918,0.1918,0.1362,0.1362,0.05,0.05
feature_1,0.0161,0.0161,0.1331,0.1331,0.0504,0.0504
feature_2,0.015,0.015,0.1401,0.1401,0.0531,0.0531
feature_3,0.0529,0.0529,0.1308,0.1308,0.0487,0.0487
feature_4,0.0212,0.0212,0.1502,0.1502,0.056,0.056
feature_5,0.0224,0.0224,0.2017,0.2017,0.0767,0.0767
feature_6,0.0044,0.0044,0.1373,0.1373,0.0512,0.0512
feature_7,0.0248,0.0248,0.1334,0.1334,0.0508,0.0508
feature_8,0.0482,0.0482,0.2414,0.2414,0.0934,0.0934
feature_9,0.1161,0.1161,0.1816,0.1816,0.0648,0.0648
feature_10,0.0828,0.0828,0.1467,0.1467,0.0535,0.0535
feature_11,0.0271,0.0271,0.1565,0.1565,0.0619,0.0619
feature_12,0.1059,0.1059,0.1048,0.1048,0.0391,0.0391
feature_13,0.2239,0.2239,0.1924,0.1924,0.0705,0.0705
feature_14,0.0366,0.0366,0.169,0.169,0.0657,0.0657
feature_15,0.011,0.011,0.1549,0.1549,0.0588,0.0588
rank_correlation,1.0,1.0,0.1,0.1,0.0294,0.0294
cosine_similarity,1.0,1.0,0.6985,0.6985,0.6864,0.6864
