,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.7322,0.2455,2.1829,2.1703,2.179,2.2022,8.7344,0.0892,0.2295,0.1367,0.1045,0.5599
feature_1,0.1163,0.039,1.559,1.5615,1.5687,1.6037,6.293,0.1072,0.0618,0.105,0.1209,0.3949
feature_2,-0.2646,0.0887,2.0323,2.0313,2.0168,1.9478,8.0282,0.2274,0.0534,0.1354,0.0758,0.492
feature_3,0.3067,0.1029,2.2877,2.2807,2.2645,2.1912,9.0241,0.1761,0.0643,0.2679,0.0492,0.5574
feature_4,-0.0048,0.0016,1.5533,1.5548,1.5502,1.5416,6.2,0.1428,0.0915,0.0459,0.1052,0.3854
feature_5,-0.0431,0.0144,1.1031,1.1062,1.1091,1.1329,4.4513,0.0262,0.0562,0.1466,0.0489,0.2779
feature_6,-0.7645,0.2564,1.6415,1.6459,1.6347,1.704,6.626,0.0647,0.0836,0.0354,0.2212,0.4048
feature_7,-0.7497,0.2514,2.0223,2.0341,2.0682,2.1194,8.2439,0.1011,0.2731,0.0708,0.0819,0.5269
rank_correlation,-0.3333,1.0,0.5714,0.6429,0.6429,0.6667,0.6429,-0.2381,0.4524,-0.2143,0.2619,0.6667
cosine_similarity,-0.3087,1.0,0.8247,0.825,0.8268,0.8358,0.8282,0.6301,0.89,0.6003,0.8202,0.8318
