,tree,tree_norm,head1_self,head_sum_self,head1_no_self,head_sum_no_self
feature_0,0.5854,0.5854,0.325,0.325,0.1228,0.1228
feature_1,0.0443,0.0443,0.2564,0.2564,0.0988,0.0988
feature_2,0.0145,0.0145,0.2521,0.2521,0.0919,0.0919
feature_3,0.0134,0.0134,0.2146,0.2146,0.0821,0.0821
feature_4,0.0123,0.0123,0.3256,0.3256,0.1235,0.1235
feature_5,0.154,0.154,0.3186,0.3186,0.1174,0.1174
feature_6,0.0862,0.0862,0.2974,0.2974,0.115,0.115
feature_7,0.09,0.09,0.3681,0.3681,0.134,0.134
rank_correlation,1.0,1.0,0.381,0.381,0.381,0.381
cosine_similarity,1.0,1.0,0.6114,0.6114,0.6126,0.6126
