,reg,reg_abs,head1_self,head_sum_self,head1_no_self,head_sum_no_self
feature_0,0.0658,0.0424,0.2064,0.2064,0.0766,0.0766
feature_1,-0.2392,0.1543,0.2452,0.2452,0.0914,0.0914
feature_2,-0.0125,0.0081,0.2474,0.2474,0.0914,0.0914
feature_3,0.2002,0.1291,0.2797,0.2797,0.1038,0.1038
feature_4,-0.0344,0.0222,0.1358,0.1358,0.0513,0.0513
feature_5,0.1284,0.0828,0.302,0.302,0.1132,0.1132
feature_6,-0.1681,0.1084,0.1343,0.1343,0.0504,0.0504
feature_7,-0.1353,0.0873,0.2153,0.2153,0.0786,0.0786
feature_8,0.0551,0.0355,0.2039,0.2039,0.0764,0.0764
feature_9,0.1204,0.0776,0.2135,0.2135,0.0801,0.0801
feature_10,0.3912,0.2523,0.2538,0.2538,0.1025,0.1025
rank_correlation,0.1364,1.0,0.3727,0.3727,0.3545,0.3545
cosine_similarity,0.3753,1.0,0.8297,0.8297,0.8407,0.8407
