,reg,reg_abs,head1,head2,head_sum
feature_0,0.7322,0.2455,0.0679,0.0326,0.1005
feature_1,0.1163,0.039,0.1429,0.0252,0.1681
feature_2,-0.2646,0.0887,0.1108,0.1203,0.2311
feature_3,0.3067,0.1029,0.1223,0.2154,0.3377
feature_4,-0.0048,0.0016,0.0362,0.0135,0.0497
feature_5,-0.0431,0.0144,0.0579,0.3224,0.3803
feature_6,-0.7645,0.2564,0.0883,0.0211,0.1094
feature_7,-0.7497,0.2514,0.1596,0.0601,0.2198
cosine_similarity,-0.3087,1.0,0.788,0.3544,0.596
