,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_71,0.8567,0.0258,0.1465,0.1301,0.1545,0.1968,0.6279,0.0082,0.0128,0.0162,0.0037,0.0408
feature_72,0.9408,0.0283,0.2086,0.1813,0.1956,0.2054,0.7909,0.0099,0.0162,0.0074,0.0173,0.0508
feature_73,-0.988,0.0298,0.2881,0.3436,0.2974,0.2805,1.2096,0.0192,0.0209,0.012,0.0161,0.0682
feature_74,0.4042,0.0122,0.2615,0.313,0.2813,0.2804,1.1362,0.0143,0.0081,0.0169,0.0285,0.0679
feature_75,-0.8494,0.0256,0.241,0.2882,0.2365,0.2261,0.9918,0.0133,0.0282,0.0055,0.011,0.0579
feature_76,-0.012,0.0004,0.2332,0.2238,0.237,0.2287,0.9227,0.0153,0.0155,0.0071,0.0225,0.0604
feature_77,0.2381,0.0072,0.153,0.1356,0.1486,0.1742,0.6114,0.0118,0.0097,0.0085,0.0076,0.0376
feature_78,-0.3146,0.0095,0.5094,0.7363,0.5208,0.4867,2.2532,0.016,0.024,0.0184,0.0591,0.1174
rank_correlation,-0.0038,1.0,0.1856,0.0695,0.1574,0.1907,0.1458,-0.0719,0.2992,0.0046,-0.054,0.1409
cosine_similarity,0.0116,1.0,0.6986,0.6792,0.6966,0.6992,0.6957,0.6534,0.6991,0.6495,0.5953,0.6961
