,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.1287,0.0291,0.8767,0.8709,0.8465,0.8487,3.4429,0.0523,0.071,0.0405,0.0504,0.2142
feature_1,0.0267,0.0061,0.8323,0.8408,0.8582,0.8484,3.3798,0.0549,0.058,0.0494,0.0511,0.2135
feature_2,0.1802,0.0408,0.908,0.9052,0.9171,0.9168,3.6471,0.0534,0.0432,0.0627,0.0662,0.2256
feature_3,-0.009,0.002,1.0111,0.9921,0.9531,0.9682,3.9245,0.0646,0.06,0.0741,0.0519,0.2507
feature_4,0.0109,0.0025,0.8983,0.8922,0.8905,0.9014,3.5824,0.0502,0.0637,0.0576,0.0552,0.2268
feature_5,0.997,0.2257,1.0901,1.0918,1.0954,1.1007,4.378,0.0808,0.0717,0.0695,0.0528,0.2748
feature_6,-0.1153,0.0261,1.0018,0.9934,0.9833,1.0033,3.9818,0.0572,0.0594,0.0675,0.0602,0.2443
feature_7,1.02,0.2309,0.8786,0.8844,0.9209,0.8873,3.5711,0.0674,0.0597,0.045,0.048,0.2201
feature_8,-0.0222,0.005,0.8611,0.8508,0.8286,0.837,3.3775,0.0485,0.0556,0.0601,0.0509,0.215
feature_9,-0.3914,0.0886,0.957,0.9567,0.9617,0.9589,3.8343,0.0569,0.0582,0.0685,0.0621,0.2456
feature_10,-0.1457,0.033,1.0248,1.0431,1.0671,1.059,4.194,0.079,0.0486,0.0692,0.0713,0.2682
feature_11,-0.1457,0.033,0.9004,0.9,0.8861,0.8978,3.5844,0.0538,0.0587,0.0468,0.0557,0.215
feature_12,-0.5629,0.1274,0.9176,0.9178,0.9093,0.9149,3.6595,0.0548,0.0599,0.0393,0.0679,0.2219
feature_13,0.0407,0.0092,0.95,0.9538,0.9536,0.9332,3.7906,0.0636,0.0532,0.0565,0.0591,0.2325
feature_14,0.0585,0.0132,0.93,0.9243,0.9509,0.9173,3.7225,0.0562,0.0664,0.0614,0.049,0.2329
feature_15,-0.5629,0.1274,1.0057,1.0136,1.0025,1.025,4.0468,0.0443,0.0588,0.0607,0.0856,0.2493
rank_correlation,0.0,1.0,0.2735,0.3294,0.4235,0.3059,0.3324,0.2118,0.05,-0.0794,0.3118,0.1941
cosine_similarity,0.4249,1.0,0.6606,0.663,0.6681,0.6662,0.6645,0.6856,0.6654,0.6167,0.6513,0.6611
