,tree,tree_norm,head1_self,head_sum_self,head1_no_self,head_sum_no_self
feature_0,0.0279,0.0279,0.1987,0.1987,0.075,0.075
feature_1,0.0063,0.0063,0.2224,0.2224,0.0844,0.0844
feature_2,0.0083,0.0083,0.1533,0.1533,0.0574,0.0574
feature_3,0.0087,0.0087,0.1463,0.1463,0.0547,0.0547
feature_4,0.0149,0.0149,0.1492,0.1492,0.0558,0.0558
feature_5,0.1633,0.1633,0.1714,0.1714,0.0643,0.0643
feature_6,0.0037,0.0037,0.1404,0.1404,0.0525,0.0525
feature_7,0.1974,0.1974,0.1658,0.1658,0.0624,0.0624
feature_8,0.0046,0.0046,0.1071,0.1071,0.0398,0.0398
feature_9,0.5009,0.5009,0.1526,0.1526,0.0569,0.0569
feature_10,0.0047,0.0047,0.146,0.146,0.0553,0.0553
feature_11,0.0129,0.0129,0.1283,0.1283,0.0479,0.0479
feature_12,0.0118,0.0118,0.1203,0.1203,0.0453,0.0453
feature_13,0.0046,0.0046,0.1892,0.1892,0.0712,0.0712
feature_14,0.0027,0.0027,0.1923,0.1923,0.0725,0.0725
feature_15,0.0272,0.0272,0.1266,0.1266,0.0472,0.0472
rank_correlation,1.0,1.0,0.0853,0.0853,0.0765,0.0765
cosine_similarity,1.0,1.0,0.4392,0.4392,0.4373,0.4373
