,0.2,0.4,0.6,0.8,1.0
MCM,0.2184,0.2191,0.2507,0.2336,0.2294
DRL,0.2467,0.3139,0.2758,0.3002,0.2701
Disent,0.1162,0.1249,0.1205,0.1306,0.1277
MemPAE-ws-pos-d64-lr0.001-t0.1,0.2357,0.2553,0.281,0.2874,0.2909
