,0.2,0.4,0.6,0.8,1.0
MCM,0.9231,0.5871,0.6677,0.7488,0.8652
DRL,0.88,0.9271,0.9289,0.9207,0.9412
Disent,0.9675,0.9692,0.9696,0.9285,0.9658
MemPAE-ws-pos-d64-lr0.001-t0.1,0.9822,0.9777,0.9733,0.9744,0.9747
