,0.2,0.4,0.6,0.8,1.0
MCM,0.8056,0.8112,0.821,0.8076,0.8076
DRL,0.6955,0.6971,0.6858,0.7422,0.7379
Disent,0.826,0.838,0.8457,0.8513,0.8507
MemPAE-ws-pos-d64-lr0.001-t0.1,,,,0.8238,0.8442
