,0.2,0.4,0.6,0.8,1.0
MCM,0.5298,0.5635,0.5751,0.5823,0.5548
DRL,0.6097,0.6619,0.7095,0.7095,0.7423
Disent,0.6842,0.7169,0.7553,0.7461,0.7566
MemPAE-ws-pos-d64-lr0.001-t0.1,0.6904,0.7307,0.7617,0.7687,0.7837
