,0.2,0.4,0.6,0.8,1.0
MCM,0.7409,0.6951,0.6847,0.7012,0.693
DRL,0.639,0.6902,0.6924,0.6884,0.6457
Disent,0.7507,0.7664,0.7835,0.7886,0.7984
MemPAE-ws-pos-d64-lr0.001-t0.1,0.7571,0.7399,0.7629,0.7598,0.7566
