,0.2,0.4,0.6,0.8,1.0
MCM,0.2878,0.3208,0.3286,0.3284,0.3372
DRL,0.1701,0.222,0.2096,0.2437,0.2727
Disent,0.0637,0.0722,0.0879,0.111,0.1417
MemPAE-ws-pos-d64-lr0.001-t0.1,,,,0.2171,0.2204
