,0.2,0.4,0.6,0.8,1.0
MCM,0.2025,0.202,,,0.2007
DRL,0.1724,0.1815,0.203,,0.1826
Disent,0.1416,,,,0.1514
MemPAE-ws-pos-d64-lr0.001-t0.1,0.2235,0.2246,0.2284,0.2306,0.2474
