,0.2,0.4,0.6,0.8,1.0
MCM,0.6057,0.6057,0.6019,0.6041,0.5945
DRL,0.5819,0.5252,0.5253,0.5469,0.5401
Disent,0.5822,0.6025,0.5945,0.5973,0.5953
MemPAE-ws-pos-d64-lr0.001-t0.1,0.615,0.6194,0.6194,0.6183,0.6113
