,0.2,0.4,0.6,0.8,1.0
MCM,0.4576,,0.4747,0.4528,0.4204
DRL,0.46,,0.5166,0.526,0.5331
Disent,0.4764,,0.4241,0.4102,0.4149
MemPAE-ws-pos-d64-lr0.001-t0.1,,,,0.4163,0.4196
