,0.2,0.4,0.6,0.8,1.0
MCM,0.66,0.7398,0.7574,0.7696,0.7852
DRL,0.499,0.7235,0.7442,0.7602,0.7486
Disent,0.7392,0.8337,0.8088,0.8369,0.8264
MemPAE-ws-pos-d64-lr0.001-t0.1,0.6854,0.7649,0.7676,0.7727,0.826
