,0.2,0.4,0.6,0.8,1.0
MCM,0.9847,0.9864,0.9893,0.992,0.991
DRL,0.9769,0.9766,0.9749,0.9767,0.9779
Disent,0.9789,0.9828,0.986,0.9867,0.9802
MemPAE-ws-pos-d64-lr0.001-t0.1,0.9824,0.9819,0.9821,0.9844,0.9844
