,0.2,0.4,0.6,0.8,1.0
MCM,0.9716,0.9735,0.9733,0.9725,0.9729
DRL,0.9565,0.9663,0.969,0.9719,0.9704
Disent,0.9327,0.9457,0.9421,0.9588,0.962
MemPAE-ws-pos-d64-lr0.001-t0.1,0.9581,0.9715,0.9743,0.9764,0.9772
