,0.2,0.4,0.6,0.8,1.0
MCM,0.6707,0.7544,0.8074,0.8164,0.8381
DRL,0.407,0.5049,0.5525,0.6154,0.6094
Disent,0.4028,0.6057,0.6798,0.7416,0.7697
MemPAE-ws-pos-d64-lr0.001-t0.1,0.7053,0.8029,0.8313,0.8642,0.8679
