,0.2,0.4,0.6,0.8,1.0
MCM,0.5612,,0.5535,0.6271,0.6344
DRL,0.5687,,0.5738,0.6034,0.6086
Disent,0.677,,0.6887,0.691,0.6856
MemPAE-ws-pos-d64-lr0.001-t0.1,,,,0.6773,0.6811
