,0.2,0.4,0.6,0.8,1.0
MCM,0.9673,0.9739,0.9764,0.9778,0.9792
DRL,0.963,0.9617,0.9658,0.9686,0.9631
Disent,0.7292,0.8556,0.8442,0.8587,0.8466
MemPAE-ws-pos-d64-lr0.001-t0.1,0.9631,0.9718,0.9736,0.9714,0.9755
