,0.2,0.4,0.6,0.8,1.0
MCM,0.8579,0.8543,0.866,0.869,0.8608
DRL,0.8754,0.879,0.8874,0.8919,0.9009
Disent,0.7605,0.7769,0.7848,0.7846,0.7932
MemPAE-ws-pos-d64-lr0.001-t0.1,,,,,0.8657
