,0.2,0.4,0.6,0.8,1.0
MCM,0.6301,0.6309,0.6435,0.6288,0.625
DRL,0.6843,0.6622,0.644,0.634,0.6322
Disent,0.6531,0.6574,0.6694,0.6726,0.6759
MemPAE-ws-pos-d64-lr0.001-t0.1,0.6849,0.7004,0.6823,0.6963,0.6986
