,0.2,0.4,0.6,0.8,1.0
MCM,0.5032,0.5077,0.5055,0.5024,0.4986
DRL,0.4584,0.4583,0.4439,0.4189,0.4177
Disent,0.4915,0.4956,0.4865,0.4332,0.4196
MemPAE-ws-pos-d64-lr0.001-t0.1,,,,0.5049,0.5105
