,0.2,0.4,0.6,0.8,1.0
MCM,0.9573,0.9695,0.974,,0.9798
DRL,0.9826,0.9843,0.9907,,0.9893
Disent,0.9641,0.967,0.9704,,0.9703
MemPAE-ws-pos-d64-lr0.001-t0.1,0.9745,0.9786,0.9843,0.9856,0.9889
