,tree,tree_norm,head1_self,head_sum_self,head1_no_self,head_sum_no_self
feature_0,0.1412,0.1412,0.4691,0.4691,0.1756,0.1756
feature_1,0.0256,0.0256,0.4311,0.4311,0.1627,0.1627
feature_2,0.017,0.017,0.5645,0.5645,0.2102,0.2102
feature_3,0.7826,0.7826,0.3265,0.3265,0.1252,0.1252
feature_4,0.0336,0.0336,0.3964,0.3964,0.1494,0.1494
rank_correlation,1.0,1.0,-0.7,-0.7,-0.7,-0.7
cosine_similarity,1.0,1.0,0.4492,0.4492,0.4557,0.4557
