,reg,reg_abs,head1_self,head_sum_self,head1_no_self,head_sum_no_self
feature_0,0.2728,0.3283,0.4691,0.4691,0.1756,0.1756
feature_1,0.0149,0.018,0.4311,0.4311,0.1627,0.1627
feature_2,-0.0042,0.0051,0.5645,0.5645,0.2102,0.2102
feature_3,0.5035,0.6058,0.3265,0.3265,0.1252,0.1252
feature_4,-0.0356,0.0428,0.3964,0.3964,0.1494,0.1494
rank_correlation,0.7,1.0,-0.7,-0.7,-0.7,-0.7
cosine_similarity,0.9922,1.0,0.5526,0.5526,0.5579,0.5579
