,tree,tree_norm,head1_self,head_sum_self,head1_no_self,head_sum_no_self
feature_0,0.377,0.377,0.0946,0.0946,0.0359,0.0359
feature_1,0.2101,0.2101,0.0765,0.0765,0.0289,0.0289
feature_2,0.1846,0.1846,0.0701,0.0701,0.0264,0.0264
feature_3,0.0646,0.0646,0.1086,0.1086,0.0397,0.0397
feature_4,0.122,0.122,0.1181,0.1181,0.0445,0.0445
feature_5,0.0071,0.0071,0.07,0.07,0.0257,0.0257
feature_6,0.0153,0.0153,0.1076,0.1076,0.0405,0.0405
feature_7,0.0038,0.0038,0.0744,0.0744,0.0284,0.0284
feature_8,0.0004,0.0004,0.0579,0.0579,0.022,0.022
feature_9,0.0009,0.0009,0.1177,0.1177,0.0455,0.0455
feature_10,0.0067,0.0067,0.0989,0.0989,0.0384,0.0384
feature_11,0.0014,0.0014,0.0667,0.0667,0.025,0.025
feature_12,0.0002,0.0002,0.1471,0.1471,0.0547,0.0547
feature_13,0.0005,0.0005,0.0962,0.0962,0.0368,0.0368
feature_14,0.0033,0.0033,0.1037,0.1037,0.0393,0.0393
feature_15,0.0001,0.0001,0.052,0.052,0.0199,0.0199
feature_16,0.0,0.0,0.1292,0.1292,0.0467,0.0467
feature_17,0.0002,0.0002,0.0699,0.0699,0.0261,0.0261
feature_18,0.0003,0.0003,0.0864,0.0864,0.0322,0.0322
feature_19,0.0,0.0,0.0757,0.0757,0.028,0.028
feature_20,0.0,0.0,0.0796,0.0796,0.0304,0.0304
feature_21,0.0,0.0,0.1657,0.1657,0.0599,0.0599
feature_22,0.0016,0.0016,0.1304,0.1304,0.0493,0.0493
feature_23,0.0,0.0,0.083,0.083,0.0322,0.0322
feature_24,0.0,0.0,0.0646,0.0646,0.0242,0.0242
feature_25,0.0,0.0,0.1774,0.1774,0.0684,0.0684
rank_correlation,1.0,1.0,-0.0475,-0.0475,-0.0519,-0.0519
cosine_similarity,1.0,1.0,0.3531,0.3531,0.3545,0.3545
