,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_204,0.1577,0.0106,0.0631,0.0624,0.0654,0.0709,0.2619,0.0041,0.0023,0.0049,0.0035,0.0149
feature_205,-0.0924,0.0062,0.0589,0.0623,0.0622,0.0542,0.2377,0.0026,0.0023,0.0046,0.0043,0.0138
feature_206,0.1511,0.0101,0.0785,0.0782,0.0802,0.0809,0.3178,0.0065,0.0025,0.0067,0.0062,0.0219
feature_207,-0.0004,0.0,0.0831,0.0787,0.074,0.0706,0.3064,0.003,0.0029,0.0105,0.005,0.0215
feature_208,-0.0382,0.0026,0.054,0.0552,0.0543,0.0573,0.2207,0.0053,0.0035,0.0033,0.002,0.014
feature_209,0.0,0.0,0.0675,0.0662,0.0697,0.0758,0.2792,0.0033,0.0023,0.0071,0.0028,0.0155
feature_210,-0.0178,0.0012,0.0594,0.0559,0.0552,0.0619,0.2324,0.002,0.0075,0.0033,0.0034,0.0162
feature_211,0.0487,0.0033,0.062,0.0626,0.0638,0.0604,0.2488,0.0035,0.0044,0.0031,0.0026,0.0136
feature_212,-0.1547,0.0104,0.0594,0.0576,0.0603,0.0659,0.2432,0.0027,0.0024,0.0045,0.0035,0.0131
feature_213,-0.149,0.01,0.064,0.0651,0.0614,0.0653,0.2558,0.0029,0.0052,0.0051,0.0028,0.016
feature_214,-0.0174,0.0012,0.0507,0.0481,0.0481,0.0526,0.1995,0.0025,0.0037,0.0031,0.0025,0.0119
feature_215,-0.1083,0.0073,0.0594,0.0582,0.0594,0.0625,0.2395,0.006,0.0041,0.0033,0.0035,0.0169
feature_216,0.0171,0.0011,0.0668,0.0654,0.0651,0.0712,0.2685,0.0033,0.004,0.0035,0.0033,0.0141
feature_217,-0.1097,0.0074,0.0599,0.0652,0.0608,0.0568,0.2426,0.0023,0.0029,0.0031,0.005,0.0133
feature_218,0.258,0.0173,0.0454,0.046,0.0456,0.0401,0.1772,0.0054,0.0029,0.0018,0.0021,0.0121
feature_219,0.0007,0.0,0.0449,0.0447,0.0445,0.0425,0.1767,0.0029,0.002,0.0028,0.0027,0.0104
feature_220,0.03,0.002,0.0469,0.0471,0.0457,0.0456,0.1853,0.0028,0.0025,0.0025,0.0041,0.012
feature_221,-0.0429,0.0029,0.0674,0.0691,0.0678,0.071,0.2754,0.0049,0.0026,0.0046,0.0034,0.0155
feature_222,0.0447,0.003,0.0521,0.0533,0.0541,0.0501,0.2096,0.0028,0.0031,0.0022,0.0041,0.0122
feature_223,-0.0276,0.0018,0.0696,0.0663,0.065,0.0598,0.2608,0.0107,0.0032,0.0029,0.004,0.0209
feature_224,-0.0588,0.0039,0.062,0.0615,0.0632,0.0624,0.249,0.0035,0.0037,0.0046,0.0049,0.0167
feature_225,0.0458,0.0031,0.0513,0.0529,0.053,0.0484,0.2057,0.0036,0.0028,0.0027,0.004,0.0131
feature_226,-0.0229,0.0015,0.0622,0.0579,0.0611,0.07,0.2511,0.004,0.0038,0.0053,0.0035,0.0167
feature_227,0.0124,0.0008,0.0554,0.0569,0.0561,0.0538,0.2223,0.0024,0.0036,0.0027,0.0034,0.0122
feature_228,0.0059,0.0004,0.0576,0.0585,0.0581,0.0605,0.2347,0.0022,0.0041,0.0036,0.0028,0.0127
feature_229,0.0207,0.0014,0.0728,0.0701,0.0696,0.0841,0.2966,0.0062,0.0045,0.0064,0.0037,0.0208
feature_230,0.0108,0.0007,0.0558,0.0553,0.054,0.0552,0.2203,0.0055,0.0039,0.0033,0.0032,0.0158
feature_231,-0.1109,0.0074,0.0464,0.0454,0.0438,0.0444,0.1799,0.0031,0.0028,0.0029,0.0033,0.0121
feature_232,-0.1358,0.0091,0.0664,0.0679,0.0646,0.071,0.2698,0.0031,0.0062,0.0039,0.0037,0.0168
feature_233,0.1767,0.0118,0.0661,0.0697,0.0674,0.0735,0.2767,0.0033,0.0029,0.004,0.0048,0.015
feature_234,0.0513,0.0034,0.0564,0.0588,0.0631,0.0571,0.2354,0.0036,0.0029,0.003,0.003,0.0124
feature_235,-0.1535,0.0103,0.0678,0.0663,0.0651,0.0675,0.2668,0.0022,0.0058,0.0081,0.0062,0.0223
feature_236,-0.1166,0.0078,0.0489,0.047,0.0464,0.0462,0.1885,0.0023,0.0039,0.0033,0.0035,0.013
feature_237,-0.2086,0.014,0.0594,0.0607,0.0639,0.0592,0.2432,0.0037,0.0037,0.0042,0.0025,0.0142
feature_238,-0.0198,0.0013,0.0604,0.0617,0.0615,0.0533,0.2369,0.0034,0.0045,0.0037,0.003,0.0146
feature_239,0.0237,0.0016,0.0496,0.0512,0.0511,0.0479,0.1999,0.0028,0.002,0.002,0.0038,0.0105
feature_240,-0.0483,0.0032,0.0583,0.0563,0.0585,0.0616,0.2346,0.0025,0.0046,0.0031,0.0081,0.0183
feature_241,-0.1444,0.0097,0.0573,0.0554,0.0575,0.0601,0.2304,0.0044,0.0039,0.0024,0.0028,0.0136
feature_242,0.2045,0.0137,0.0558,0.0556,0.0544,0.0575,0.2233,0.0038,0.0036,0.0032,0.0026,0.0132
feature_243,0.0517,0.0035,0.0478,0.0494,0.0474,0.0488,0.1934,0.0021,0.0027,0.0042,0.0023,0.0112
feature_244,-0.0398,0.0027,0.0594,0.0587,0.0561,0.0616,0.2359,0.0045,0.0037,0.0051,0.0035,0.0167
feature_245,0.0422,0.0028,0.0569,0.0566,0.0576,0.0638,0.2348,0.0023,0.0032,0.003,0.005,0.0135
feature_246,0.2169,0.0145,0.0595,0.0612,0.0624,0.0558,0.239,0.0031,0.0036,0.0042,0.0032,0.0141
feature_247,0.0537,0.0036,0.0585,0.057,0.0586,0.0677,0.2418,0.0029,0.0034,0.0021,0.0035,0.0119
feature_248,0.0165,0.0011,0.0491,0.0456,0.0454,0.0512,0.1914,0.0073,0.0025,0.0031,0.0031,0.016
feature_249,0.0,0.0,0.0561,0.0555,0.0555,0.0583,0.2255,0.0035,0.0025,0.0064,0.0032,0.0157
feature_250,-0.0454,0.003,0.0686,0.0686,0.0704,0.0746,0.2822,0.0037,0.0045,0.004,0.0038,0.016
feature_251,-0.1128,0.0076,0.063,0.0628,0.0661,0.0601,0.252,0.0031,0.0037,0.0051,0.0038,0.0157
feature_252,-0.3673,0.0246,0.0565,0.0571,0.059,0.0619,0.2346,0.0032,0.0053,0.0031,0.0029,0.0145
feature_253,0.1882,0.0126,0.0616,0.06,0.0612,0.0641,0.2468,0.0031,0.002,0.0043,0.0067,0.0162
feature_254,-0.0644,0.0043,0.0599,0.0586,0.0571,0.0562,0.2318,0.0032,0.0033,0.0024,0.0037,0.0127
feature_255,-0.1768,0.0119,0.0601,0.0574,0.0546,0.0564,0.2286,0.0031,0.0047,0.0047,0.0061,0.0186
feature_256,-0.3122,0.0209,0.0713,0.0732,0.0725,0.0759,0.293,0.0052,0.0068,0.0032,0.0026,0.0179
feature_257,-0.0986,0.0066,0.0566,0.0601,0.0586,0.0539,0.2291,0.0029,0.0032,0.0043,0.0061,0.0165
feature_258,-0.0127,0.0009,0.0524,0.0498,0.0518,0.0547,0.2086,0.003,0.0051,0.0042,0.0029,0.0152
feature_259,0.0,0.0,0.0695,0.0629,0.0607,0.0736,0.2666,0.0083,0.0022,0.0035,0.0036,0.0176
feature_260,-0.0171,0.0011,0.0517,0.0524,0.0537,0.0502,0.208,0.0027,0.0033,0.0046,0.0039,0.0144
feature_261,-0.2096,0.0141,0.0564,0.0547,0.0527,0.055,0.2187,0.003,0.0023,0.0044,0.0031,0.0128
feature_262,-0.1136,0.0076,0.0628,0.0614,0.0617,0.0691,0.255,0.003,0.0037,0.0033,0.0031,0.0129
feature_263,0.6613,0.0443,0.0552,0.0568,0.0547,0.0534,0.2201,0.0033,0.0034,0.0023,0.0038,0.0129
feature_264,0.0395,0.0026,0.0535,0.0498,0.0499,0.0571,0.2102,0.0032,0.0048,0.0023,0.0034,0.0137
feature_265,0.1191,0.008,0.0628,0.0622,0.062,0.0678,0.2548,0.0047,0.0042,0.003,0.0036,0.0155
feature_266,0.0013,0.0001,0.0668,0.067,0.0639,0.0712,0.2688,0.0022,0.0058,0.0031,0.0035,0.0146
feature_267,-0.0641,0.0043,0.073,0.0716,0.0673,0.0665,0.2783,0.0088,0.006,0.0025,0.0046,0.0219
feature_268,-0.0123,0.0008,0.0606,0.0626,0.0618,0.0609,0.2459,0.0024,0.0026,0.0027,0.0134,0.0211
feature_269,0.0,0.0,0.053,0.0553,0.0529,0.0478,0.209,0.0054,0.0022,0.004,0.0027,0.0143
feature_270,0.0374,0.0025,0.0573,0.057,0.0575,0.0487,0.2205,0.0039,0.0032,0.002,0.0037,0.0128
feature_271,0.4662,0.0313,0.0651,0.0682,0.0688,0.0603,0.2625,0.0031,0.0021,0.0047,0.0061,0.0161
feature_272,0.7844,0.0526,0.057,0.0575,0.0528,0.0536,0.2208,0.0027,0.0041,0.0025,0.0024,0.0116
rank_correlation,-0.0718,1.0,0.1959,0.1906,0.17,0.1668,0.1848,0.0716,0.1295,0.1218,0.1299,0.177
cosine_similarity,0.3793,1.0,0.5434,0.5455,0.5419,0.5407,0.5433,0.4993,0.5332,0.5031,0.5131,0.5392
