,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head5_self,head6_self,head7_self,head8_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head5_no_self,head6_no_self,head7_no_self,head8_no_self,head_sum_no_self
feature_0,0.7322,0.2455,1.253,1.3125,3.4986,1.2086,0.7012,3.3199,1.0919,2.6431,15.0288,0.0121,0.0307,0.0018,0.0486,0.0057,0.0063,0.0189,0.0055,0.1297
feature_1,0.1163,0.039,2.4317,2.4617,3.7219,2.4013,2.1238,3.607,2.3434,3.2339,22.3247,0.0067,0.0394,0.033,0.076,0.7766,0.0011,0.2092,0.0021,1.1441
feature_2,-0.2646,0.0887,1.7577,1.7373,1.0658,1.7702,1.9357,1.1117,1.8134,1.3149,12.5067,0.0075,0.0193,0.0087,0.0398,0.0104,0.0026,0.0062,0.887,0.9815
feature_3,0.3067,0.1029,1.7583,1.7769,2.1842,1.7552,1.6888,2.1207,1.7555,1.9768,15.0165,0.0018,0.4247,0.0067,0.2704,0.032,0.0037,0.0415,0.089,0.8698
feature_4,-0.0048,0.0016,2.1202,2.0869,0.758,2.1475,2.4508,0.87,2.2197,1.275,13.9281,0.0014,0.015,0.9227,0.1914,0.0157,0.0013,0.1405,0.004,1.2921
feature_5,-0.0431,0.0144,1.1453,1.1376,0.5007,1.1623,1.3272,0.5311,1.2169,0.7067,7.7277,0.0017,0.1069,0.0024,0.0473,0.0035,0.0012,0.4633,0.0021,0.6283
feature_6,-0.7645,0.2564,2.7606,2.7119,1.097,2.7934,3.1293,1.2752,2.8412,1.7959,18.4044,0.9632,0.3152,0.0017,0.2539,0.1066,0.0012,0.0515,0.0039,1.6971
feature_7,-0.7497,0.2514,0.9789,1.0032,2.5582,0.9383,0.5662,2.4452,0.8431,1.9803,11.3135,0.0031,0.0242,0.0145,0.0048,0.0276,0.0022,0.0236,0.0028,0.1029
rank_correlation,-0.3333,1.0,-0.0238,-0.0238,0.4524,-0.0476,-0.1905,0.4524,-0.1429,0.4524,0.2619,0.7381,0.3571,-0.5952,0.0,0.3095,0.2143,-0.5238,0.1667,-0.1905
cosine_similarity,-0.3087,1.0,0.7068,0.7117,0.7741,0.7011,0.6311,0.784,0.6836,0.7936,0.7625,0.5713,0.5752,0.0208,0.575,0.1956,0.8001,0.1793,0.2231,0.5602
