,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.0658,0.0424,1.3119,1.3239,1.4568,1.4201,5.5127,0.1024,0.0804,0.0885,0.0764,0.3476
feature_1,-0.2392,0.1543,1.2697,1.262,1.2225,1.2332,4.9874,0.0426,0.0792,0.099,0.0785,0.2993
feature_2,-0.0125,0.0081,1.2721,1.2724,1.2637,1.2666,5.0748,0.0663,0.087,0.0887,0.0736,0.3155
feature_3,0.2002,0.1291,1.9696,1.9277,1.7154,1.7722,7.3849,0.0772,0.0928,0.1519,0.1604,0.4822
feature_4,-0.0344,0.0222,1.4857,1.5091,1.5373,1.5305,6.0626,0.108,0.065,0.0852,0.0723,0.3304
feature_5,0.1284,0.0828,1.2583,1.25,1.2499,1.2508,5.009,0.0735,0.0809,0.0813,0.0875,0.3232
feature_6,-0.1681,0.1084,1.1885,1.1886,1.1583,1.1665,4.7019,0.0689,0.0854,0.0622,0.0756,0.292
feature_7,-0.1353,0.0873,1.2843,1.2859,1.3022,1.2992,5.1717,0.075,0.086,0.0647,0.074,0.2997
feature_8,0.0551,0.0355,1.3715,1.381,1.4448,1.4272,5.6244,0.1395,0.0993,0.058,0.0799,0.3768
feature_9,0.1204,0.0776,1.2879,1.2793,1.2188,1.2353,5.0213,0.0781,0.0848,0.087,0.0762,0.3261
feature_10,0.3912,0.2523,1.1325,1.1535,1.2656,1.2387,4.7903,0.0643,0.0805,0.0729,0.0766,0.2944
rank_correlation,0.1364,1.0,-0.4636,-0.4455,-0.2273,-0.4182,-0.4909,-0.5909,-0.1273,0.0455,0.4818,-0.4636
cosine_similarity,0.3753,1.0,0.7842,0.7844,0.7856,0.7859,0.7854,0.6734,0.801,0.7947,0.8077,0.7853
