,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.2728,0.3283,2.4706,2.3728,2.4025,2.3729,9.6188,0.1545,0.1727,0.0589,0.2148,0.6009
feature_1,0.0149,0.018,2.3791,2.3795,2.3743,2.3897,9.5227,0.1693,0.124,0.0818,0.2149,0.59
feature_2,-0.0042,0.0051,2.1254,2.1259,2.0812,2.0769,8.4093,0.1832,0.1618,0.0769,0.0961,0.5179
feature_3,0.5035,0.6058,2.7102,2.5923,2.7857,2.7644,10.8525,0.2446,0.0724,0.2,0.1777,0.6948
feature_4,-0.0356,0.0428,2.1343,2.1287,2.1937,2.1772,8.6339,0.1621,0.0986,0.1474,0.1386,0.5467
rank_correlation,0.7,1.0,0.9,0.7,0.9,0.7,0.9,0.0,-0.4,0.4,0.3,0.9
cosine_similarity,0.9922,1.0,0.7086,0.6942,0.7139,0.7111,0.7071,0.7322,0.5315,0.7719,0.6991,0.7149
