,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.0482,0.0139,0.0719,0.1984,0.4456,0.4635,1.1794,0.0031,0.0009,0.0003,0.0017,0.006
feature_1,-0.0695,0.0201,0.1418,1.6163,2.7195,0.3316,4.8091,0.0012,0.0011,0.0135,0.001,0.0169
feature_2,0.2017,0.0583,0.2832,0.1331,0.3092,1.0089,1.7344,0.0018,0.004,0.02,0.0011,0.0269
feature_3,0.0765,0.0221,0.2462,0.1358,0.7054,1.8199,2.9074,0.0006,0.0026,0.0089,0.0008,0.0129
feature_4,-0.2021,0.0585,0.3583,0.1144,0.3466,1.2265,2.0458,0.0008,0.0072,0.0119,0.0007,0.0207
feature_5,-0.729,0.2109,2.9579,2.2551,0.7668,0.5682,6.5481,0.0009,0.0119,0.831,0.0006,0.8444
feature_6,-0.4608,0.1333,0.2854,0.8348,1.8011,1.7101,4.6315,0.0009,0.0019,0.0216,0.0028,0.0271
feature_7,0.623,0.1802,3.3938,2.4534,0.5633,0.4785,6.889,0.0033,0.9523,0.0297,0.0023,0.9876
feature_8,-0.1164,0.0337,3.3412,2.4136,0.58,0.5429,6.8777,0.0041,0.0058,0.0048,0.9559,0.9705
feature_9,0.2737,0.0792,0.3278,0.0991,0.3363,1.202,1.9653,0.0006,0.0003,0.0096,0.0051,0.0155
feature_10,-0.0112,0.0032,0.2652,0.0516,0.7123,2.2473,3.2765,0.0003,0.002,0.0027,0.0057,0.0108
feature_11,-0.204,0.059,0.1926,0.0771,0.2085,0.5907,1.0689,0.0013,0.0017,0.0047,0.0114,0.0192
feature_12,-0.1029,0.0298,0.314,0.094,0.3638,1.2568,2.0287,0.0019,0.0015,0.0079,0.0018,0.0131
feature_13,-0.1789,0.0518,0.1161,1.4166,2.4118,0.3498,4.2943,0.0033,0.001,0.0054,0.0032,0.0129
feature_14,-0.1098,0.0318,0.1782,0.0983,0.4973,1.2867,2.0605,0.0008,0.0029,0.0089,0.0011,0.0137
feature_15,-0.049,0.0142,0.1383,1.5651,2.6294,0.3036,4.6364,0.0018,0.0006,0.0182,0.0034,0.024
rank_correlation,-0.2971,1.0,0.6412,0.25,-0.2588,0.0353,0.1529,0.0471,0.4441,0.5941,-0.0853,0.6676
cosine_similarity,-0.2759,1.0,0.7656,0.7452,0.4894,0.5653,0.8086,0.6022,0.5362,0.6567,0.1054,0.7166
