,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head5_self,head6_self,head7_self,head8_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head5_no_self,head6_no_self,head7_no_self,head8_no_self,head_sum_no_self
feature_454,0.3024,0.0105,0.0222,0.0202,0.0258,0.0221,0.0193,0.0236,0.0228,0.0236,0.1794,0.001,0.0024,0.0015,0.0011,0.0013,0.0011,0.0006,0.0021,0.0112
feature_455,0.3007,0.0104,0.0203,0.017,0.0215,0.0188,0.0177,0.0205,0.0192,0.0204,0.1555,0.002,0.0006,0.0027,0.0007,0.001,0.0011,0.0017,0.0005,0.0103
feature_456,-0.9076,0.0314,0.026,0.0173,0.0281,0.0233,0.0234,0.0253,0.0253,0.0265,0.1952,0.0022,0.0005,0.0019,0.0008,0.0018,0.0015,0.0054,0.0007,0.0148
feature_457,1.2506,0.0433,0.027,0.0232,0.0295,0.0244,0.023,0.0268,0.0265,0.0277,0.2082,0.0011,0.0016,0.003,0.0012,0.0012,0.0012,0.0015,0.0009,0.0117
feature_458,-0.2849,0.0099,0.0201,0.0162,0.0225,0.0176,0.0167,0.0207,0.0201,0.0213,0.1551,0.001,0.0028,0.0011,0.001,0.0019,0.001,0.0023,0.0021,0.0131
feature_459,-0.5475,0.0189,0.0199,0.0171,0.0212,0.0176,0.0177,0.0197,0.0196,0.0203,0.1532,0.002,0.0008,0.0008,0.0008,0.0013,0.0009,0.0018,0.0011,0.0095
feature_460,-0.0005,0.0,0.0223,0.0204,0.0233,0.0218,0.021,0.0237,0.0233,0.023,0.1788,0.0015,0.0009,0.0007,0.0009,0.0026,0.0012,0.0008,0.0011,0.0097
feature_461,-0.0219,0.0008,0.021,0.0167,0.0205,0.0224,0.0225,0.0201,0.0205,0.0194,0.1631,0.0011,0.0012,0.0015,0.0007,0.0012,0.0012,0.0016,0.001,0.0096
feature_462,-0.0013,0.0,0.0291,0.0204,0.0289,0.0233,0.0305,0.0281,0.0276,0.03,0.2178,0.0012,0.0009,0.0022,0.0008,0.0021,0.0031,0.002,0.0006,0.0128
feature_463,0.1341,0.0046,0.0248,0.0194,0.0232,0.0238,0.0272,0.0234,0.0236,0.0238,0.1892,0.002,0.0009,0.0012,0.0015,0.0013,0.0012,0.0021,0.0019,0.0121
