,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head5_self,head6_self,head7_self,head8_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head5_no_self,head6_no_self,head7_no_self,head8_no_self,head_sum_no_self
feature_530,0.0246,0.0009,0.0261,0.0492,0.0236,0.0279,0.0183,0.0222,0.0241,0.0213,0.2126,0.001,0.0017,0.0012,0.0011,0.0017,0.0015,0.0012,0.0017,0.0111
feature_531,0.0497,0.0017,0.0271,0.0388,0.0241,0.0296,0.0211,0.0229,0.0237,0.0214,0.2085,0.0024,0.0018,0.0007,0.001,0.0009,0.0011,0.002,0.0028,0.0127
feature_532,-0.0753,0.0026,0.0238,0.0369,0.022,0.0246,0.0169,0.0202,0.0211,0.0195,0.1849,0.0017,0.0008,0.001,0.0026,0.0006,0.0016,0.0017,0.002,0.0119
feature_533,0.0617,0.0021,0.0212,0.0339,0.0193,0.0229,0.0172,0.0194,0.0199,0.0184,0.1722,0.0017,0.0007,0.0008,0.0007,0.0009,0.0018,0.001,0.0019,0.0095
feature_534,-0.0383,0.0013,0.0264,0.0421,0.0243,0.0301,0.0212,0.0243,0.0257,0.022,0.2161,0.0011,0.0007,0.0011,0.0008,0.0011,0.0033,0.0019,0.0023,0.0123
feature_535,0.0105,0.0004,0.0197,0.0267,0.0187,0.0214,0.0171,0.0186,0.0193,0.0174,0.1588,0.0007,0.0029,0.0011,0.0008,0.0013,0.0008,0.0019,0.0011,0.0105
feature_536,-0.0316,0.0011,0.0229,0.0371,0.0222,0.0274,0.0175,0.0213,0.0222,0.0187,0.1892,0.0016,0.0005,0.001,0.0017,0.0011,0.0012,0.0012,0.0006,0.0089
feature_537,-0.0118,0.0004,0.0324,0.0514,0.0293,0.0361,0.0229,0.0281,0.0292,0.0255,0.2548,0.0011,0.0009,0.0019,0.0021,0.0011,0.0014,0.0006,0.0016,0.0106
feature_538,0.0253,0.0009,0.0186,0.0252,0.0199,0.0203,0.0158,0.018,0.0186,0.0185,0.1549,0.0012,0.0027,0.0014,0.0014,0.0007,0.0009,0.0011,0.0008,0.0101
feature_539,-0.0521,0.0018,0.0185,0.0273,0.0204,0.0225,0.0152,0.0184,0.0194,0.0181,0.1598,0.0008,0.0013,0.0012,0.0035,0.0007,0.0013,0.0008,0.0006,0.0103
feature_540,0.0175,0.0006,0.0259,0.0303,0.0306,0.0298,0.0207,0.0266,0.027,0.0254,0.2163,0.0023,0.0014,0.0011,0.0007,0.0011,0.0018,0.0014,0.0007,0.0106
feature_541,0.1248,0.0043,0.022,0.0236,0.0258,0.0233,0.0168,0.0229,0.0223,0.0221,0.1788,0.0016,0.0011,0.0014,0.0014,0.001,0.0009,0.001,0.0007,0.009
feature_542,-0.0952,0.0033,0.0221,0.0266,0.0267,0.0262,0.0185,0.0229,0.0238,0.023,0.1899,0.0018,0.0016,0.0015,0.0009,0.0015,0.0041,0.0017,0.0015,0.0145
feature_543,0.0124,0.0004,0.0223,0.0251,0.0246,0.0277,0.0198,0.0233,0.0239,0.0209,0.1876,0.0025,0.0006,0.0016,0.0009,0.0007,0.0014,0.0015,0.0016,0.0108
feature_544,0.0103,0.0004,0.0412,0.0189,0.0448,0.0263,0.034,0.0431,0.0365,0.0438,0.2886,0.0008,0.0023,0.0019,0.0011,0.0028,0.0035,0.0021,0.0023,0.0167
feature_545,0.032,0.0011,0.0279,0.0182,0.0299,0.0201,0.0235,0.0303,0.0259,0.03,0.2057,0.0009,0.0023,0.002,0.0025,0.0018,0.0015,0.003,0.0023,0.0161
feature_546,-0.1404,0.0049,0.0306,0.0168,0.0307,0.0222,0.0292,0.0282,0.0281,0.0321,0.2179,0.0013,0.0007,0.0059,0.0009,0.0015,0.0018,0.0016,0.0014,0.015
feature_547,0.1244,0.0043,0.0284,0.0207,0.0289,0.0235,0.0281,0.029,0.0283,0.0291,0.2159,0.0009,0.0015,0.0011,0.0008,0.0026,0.0011,0.0014,0.0025,0.012
feature_548,0.0221,0.0008,0.0276,0.0203,0.0278,0.0209,0.0269,0.0269,0.0268,0.0292,0.2065,0.001,0.0009,0.0033,0.0007,0.0024,0.0009,0.0009,0.0018,0.012
feature_549,-0.0218,0.0008,0.02,0.0204,0.0205,0.0201,0.02,0.0199,0.0202,0.0212,0.1623,0.0011,0.0009,0.0033,0.001,0.0008,0.0007,0.0013,0.0016,0.0106
feature_550,0.0311,0.0011,0.0255,0.0219,0.0243,0.0245,0.0277,0.0241,0.0249,0.0251,0.1981,0.0023,0.0024,0.0015,0.0012,0.0008,0.0012,0.0012,0.0016,0.0123
feature_551,-0.023,0.0008,0.0242,0.0375,0.0242,0.0338,0.0292,0.028,0.026,0.0243,0.2271,0.001,0.0009,0.0014,0.0011,0.0033,0.0008,0.0009,0.001,0.0105
feature_552,0.0067,0.0002,0.0273,0.0492,0.0252,0.0417,0.0328,0.0307,0.0302,0.0251,0.2622,0.0009,0.0008,0.0018,0.0023,0.001,0.0028,0.0015,0.0009,0.0119
feature_553,-0.0388,0.0013,0.023,0.0401,0.023,0.0282,0.0196,0.0234,0.0246,0.0206,0.2024,0.0007,0.001,0.0008,0.0024,0.0006,0.0013,0.0018,0.0026,0.011
feature_554,-0.0069,0.0002,0.0294,0.0438,0.0278,0.0402,0.0309,0.0307,0.0299,0.0253,0.2579,0.0013,0.0013,0.001,0.0043,0.0011,0.002,0.0009,0.0015,0.0134
feature_555,0.002,1e-04,0.0211,0.0334,0.0204,0.0257,0.0198,0.0211,0.0214,0.0189,0.1818,0.001,0.0006,0.0011,0.0017,0.0012,0.0008,0.0011,0.0005,0.0078
feature_556,0.0102,0.0004,0.0198,0.027,0.0203,0.022,0.0175,0.02,0.0208,0.0191,0.1665,0.0014,0.0008,0.0009,0.0011,0.0012,0.0012,0.0027,0.0009,0.0102
feature_557,0.0087,0.0003,0.0274,0.0198,0.0306,0.0235,0.0211,0.03,0.026,0.0271,0.2055,0.0012,0.0019,0.0014,0.0045,0.0007,0.0009,0.0021,0.0011,0.0137
feature_558,0.0027,1e-04,0.0246,0.0466,0.0268,0.0275,0.0166,0.0253,0.026,0.0228,0.2162,0.0007,0.0011,0.0012,0.0009,0.0012,0.0011,0.0021,0.001,0.0092
feature_559,-0.0064,0.0002,0.0223,0.0485,0.0218,0.0256,0.0181,0.0231,0.0248,0.0203,0.2044,0.0012,0.001,0.001,0.001,0.0009,0.0008,0.0009,0.0006,0.0075
feature_560,0.0004,0.0,0.0218,0.0267,0.0196,0.0323,0.0246,0.0237,0.0246,0.0183,0.1915,0.0037,0.0008,0.0008,0.0014,0.0009,0.001,0.0013,0.0011,0.011
feature_561,0.0321,0.0011,0.0267,0.0497,0.024,0.0384,0.0267,0.0287,0.0297,0.022,0.2461,0.0031,0.0015,0.0008,0.0013,0.0014,0.0006,0.001,0.0015,0.0113
feature_562,-0.0166,0.0006,0.0214,0.0293,0.0195,0.0218,0.0182,0.0186,0.0197,0.0188,0.1671,0.0016,0.0063,0.0008,0.0015,0.0009,0.0007,0.0007,0.0019,0.0145
feature_563,-0.0741,0.0026,0.0252,0.0483,0.0231,0.0279,0.0174,0.022,0.0237,0.0203,0.2079,0.0015,0.0021,0.0005,0.0017,0.0013,0.0016,0.0017,0.0034,0.0138
feature_564,0.0412,0.0014,0.0239,0.0373,0.0214,0.0271,0.0188,0.0206,0.0213,0.0186,0.189,0.002,0.0023,0.0007,0.001,0.0005,0.0013,0.001,0.001,0.0099
feature_565,-0.0187,0.0006,0.0273,0.0479,0.0243,0.0316,0.02,0.0234,0.0248,0.0209,0.2203,0.002,0.0049,0.0009,0.0009,0.0006,0.0021,0.0024,0.0006,0.0144
feature_566,0.0052,0.0002,0.0223,0.0338,0.0217,0.0243,0.016,0.0192,0.0199,0.0186,0.1759,0.0018,0.0007,0.0008,0.0013,0.0007,0.0031,0.0015,0.0007,0.0107
feature_567,0.0121,0.0004,0.0224,0.0336,0.0221,0.0243,0.016,0.0196,0.0202,0.0187,0.1769,0.0011,0.0013,0.0007,0.0013,0.0012,0.0009,0.0022,0.0006,0.0093
feature_568,0.071,0.0025,0.0233,0.0294,0.0273,0.026,0.0172,0.0225,0.0234,0.023,0.1921,0.0021,0.002,0.0007,0.0022,0.001,0.0009,0.0023,0.0005,0.0115
feature_569,-0.0398,0.0014,0.018,0.0276,0.0193,0.0188,0.0146,0.0174,0.0185,0.0182,0.1524,0.0006,0.001,0.0017,0.0011,0.0017,0.0012,0.0009,0.0007,0.009
feature_570,0.013,0.0004,0.0193,0.0294,0.0231,0.0231,0.0167,0.0197,0.0209,0.0214,0.1736,0.001,0.0008,0.0018,0.0016,0.0013,0.002,0.0021,0.0008,0.0115
feature_571,0.0334,0.0012,0.021,0.0265,0.0244,0.0239,0.0202,0.0214,0.0222,0.0234,0.183,0.0013,0.0009,0.001,0.0067,0.0016,0.0008,0.0011,0.0007,0.0141
feature_572,-0.0056,0.0002,0.0257,0.0375,0.0331,0.0314,0.0213,0.0273,0.0292,0.0299,0.2354,0.001,0.0011,0.0009,0.003,0.0017,0.0008,0.0014,0.001,0.0111
feature_573,-0.0279,0.001,0.0233,0.0353,0.0263,0.0294,0.0191,0.0238,0.025,0.023,0.2052,0.0009,0.0011,0.0013,0.0013,0.0012,0.001,0.0015,0.0006,0.0089
feature_574,0.095,0.0033,0.0244,0.0272,0.03,0.0277,0.0209,0.0255,0.0262,0.0269,0.209,0.0019,0.0012,0.0017,0.002,0.0008,0.0012,0.0011,0.0007,0.0107
feature_575,-0.0331,0.0011,0.02,0.0311,0.023,0.0237,0.0187,0.0207,0.0217,0.0222,0.1812,0.0013,0.0014,0.0013,0.0039,0.0011,0.0034,0.0016,0.0005,0.0144
feature_576,0.05,0.0017,0.0264,0.0248,0.0239,0.0295,0.0292,0.0252,0.0254,0.0238,0.2082,0.0025,0.0046,0.0011,0.0012,0.0019,0.0011,0.0006,0.0041,0.0171
feature_577,0.1925,0.0067,0.0224,0.0188,0.0205,0.0226,0.0263,0.0235,0.0238,0.0248,0.1828,0.0007,0.0005,0.0011,0.0007,0.0024,0.0012,0.0009,0.0031,0.0105
feature_578,0.0528,0.0018,0.018,0.0198,0.0178,0.0172,0.0168,0.0185,0.0186,0.0192,0.1458,0.0008,0.0011,0.0013,0.0006,0.0012,0.0009,0.0013,0.0019,0.0092
feature_579,0.0072,0.0003,0.0205,0.0333,0.0193,0.0218,0.0151,0.0182,0.0188,0.0177,0.1648,0.0012,0.0025,0.001,0.0012,0.0008,0.0017,0.0014,0.0008,0.0106
feature_580,-0.0202,0.0007,0.0244,0.0253,0.0214,0.0302,0.0288,0.026,0.0263,0.0235,0.2058,0.0013,0.0016,0.0009,0.0008,0.0017,0.002,0.0011,0.0047,0.014
feature_581,0.0175,0.0006,0.0297,0.0186,0.0321,0.0256,0.0237,0.0319,0.0278,0.0284,0.2179,0.0023,0.001,0.0029,0.0011,0.0013,0.0008,0.0012,0.0023,0.0128
feature_582,0.0074,0.0003,0.0252,0.0208,0.0251,0.0242,0.0243,0.0244,0.0246,0.0242,0.1928,0.0009,0.0008,0.0009,0.0014,0.001,0.0021,0.001,0.0018,0.0098
feature_583,0.0238,0.0008,0.0259,0.0215,0.0265,0.025,0.0266,0.0239,0.0263,0.0269,0.2026,0.0008,0.001,0.0016,0.0013,0.0025,0.0017,0.0008,0.0013,0.0112
feature_584,0.0116,0.0004,0.0335,0.0233,0.0333,0.0327,0.041,0.0316,0.0343,0.0351,0.2649,0.0017,0.0019,0.0018,0.0011,0.0014,0.0025,0.0007,0.0016,0.0127
feature_585,0.0496,0.0017,0.0347,0.0181,0.034,0.0251,0.0345,0.0321,0.0315,0.0358,0.246,0.0011,0.001,0.0018,0.0009,0.0046,0.002,0.0011,0.001,0.0135
feature_586,-0.0096,0.0003,0.0264,0.0209,0.0266,0.0204,0.0262,0.0285,0.0273,0.0292,0.2056,0.0019,0.0042,0.002,0.0009,0.0013,0.0046,0.0019,0.0007,0.0177
feature_587,0.0312,0.0011,0.0231,0.0221,0.0235,0.0187,0.0207,0.0278,0.0254,0.0265,0.1878,0.0009,0.0054,0.0011,0.0008,0.0024,0.0019,0.0021,0.0006,0.0153
feature_588,-0.0518,0.0018,0.0306,0.0204,0.0319,0.0226,0.0264,0.0353,0.0318,0.0343,0.2332,0.0024,0.0054,0.0016,0.0016,0.0011,0.001,0.0031,0.0017,0.0179
feature_589,0.0116,0.0004,0.0336,0.0193,0.0354,0.0239,0.0306,0.0346,0.0314,0.0355,0.2443,0.0023,0.0018,0.0029,0.0022,0.0027,0.0011,0.0007,0.0015,0.0153
feature_590,-0.0152,0.0005,0.0264,0.0172,0.0287,0.0193,0.0219,0.0295,0.0252,0.0287,0.1969,0.0016,0.0024,0.0017,0.0007,0.0019,0.0017,0.002,0.0009,0.0129
feature_591,-0.037,0.0013,0.0276,0.0273,0.0325,0.0275,0.022,0.0282,0.0287,0.028,0.2218,0.0008,0.0008,0.0016,0.0017,0.0021,0.0023,0.0013,0.0009,0.0114
feature_592,-0.024,0.0008,0.0302,0.0224,0.031,0.022,0.0303,0.0288,0.0284,0.0296,0.2226,0.0007,0.0029,0.001,0.0016,0.0084,0.0008,0.001,0.0005,0.0169
feature_593,-0.0075,0.0003,0.0207,0.0301,0.0256,0.0242,0.0188,0.0215,0.0234,0.0249,0.1893,0.0012,0.0009,0.001,0.0011,0.0035,0.0012,0.0026,0.0006,0.0121
feature_594,-0.0537,0.0019,0.0197,0.0292,0.0232,0.0221,0.019,0.0204,0.0224,0.0239,0.1799,0.0005,0.0005,0.0011,0.0022,0.0087,0.0008,0.0012,0.001,0.016
feature_595,-0.0294,0.001,0.0225,0.0337,0.0275,0.0249,0.0191,0.023,0.0248,0.0264,0.202,0.0007,0.0012,0.0014,0.0014,0.0064,0.0036,0.0016,0.0009,0.0172
feature_596,0.0095,0.0003,0.0199,0.028,0.0244,0.0236,0.0166,0.0204,0.0216,0.0218,0.1763,0.0009,0.0009,0.0009,0.0016,0.0026,0.0017,0.0009,0.0006,0.0101
feature_597,-0.0244,0.0008,0.0223,0.0256,0.0273,0.026,0.0174,0.0237,0.0241,0.0229,0.1893,0.0018,0.0022,0.0039,0.0011,0.001,0.001,0.0021,0.0007,0.0136
feature_598,0.0008,0.0,0.027,0.0214,0.0328,0.0274,0.021,0.0265,0.0277,0.0273,0.2112,0.0008,0.0005,0.0075,0.0013,0.0025,0.0013,0.0023,0.0012,0.0174
feature_599,-0.0221,0.0008,0.0255,0.0209,0.0318,0.0259,0.0179,0.0259,0.0257,0.0259,0.1996,0.001,0.0008,0.0025,0.001,0.0007,0.0024,0.0021,0.0007,0.0112
feature_600,0.0037,1e-04,0.0214,0.0183,0.0256,0.0212,0.0157,0.0216,0.0218,0.0218,0.1675,0.0012,0.0006,0.0011,0.0012,0.0013,0.0009,0.0066,0.0015,0.0143
feature_601,0.0092,0.0003,0.029,0.0178,0.032,0.0241,0.0221,0.0307,0.027,0.0278,0.2106,0.0018,0.0009,0.001,0.001,0.0008,0.0013,0.0038,0.0007,0.0114
feature_602,0.0011,0.0,0.0294,0.0185,0.0317,0.0257,0.0242,0.0314,0.0277,0.0285,0.217,0.0031,0.0008,0.0012,0.0012,0.0012,0.0008,0.0048,0.002,0.0149
feature_603,0.0076,0.0003,0.0296,0.0165,0.0316,0.0223,0.0251,0.0315,0.0273,0.0307,0.2145,0.0015,0.002,0.0014,0.0023,0.0013,0.0012,0.0025,0.0023,0.0146
feature_604,-0.0134,0.0005,0.0374,0.0199,0.0386,0.0244,0.0333,0.0368,0.0335,0.0404,0.2643,0.0022,0.0012,0.0029,0.0024,0.0025,0.0008,0.003,0.0021,0.017
feature_605,-0.0128,0.0004,0.0352,0.018,0.038,0.0237,0.0298,0.0373,0.0318,0.0378,0.2515,0.0023,0.0023,0.0093,0.0014,0.0009,0.0013,0.0033,0.0008,0.0216
feature_606,-0.0272,0.0009,0.0347,0.0183,0.0386,0.0248,0.0279,0.0381,0.0306,0.036,0.2491,0.0011,0.0004,0.001,0.001,0.0008,0.0017,0.0102,0.0017,0.0178
feature_607,0.0021,1e-04,0.0325,0.0169,0.035,0.0223,0.0272,0.0343,0.0292,0.0345,0.2319,0.0014,0.0006,0.0032,0.0026,0.0014,0.0018,0.0021,0.0014,0.0145
feature_608,0.0487,0.0017,0.0313,0.0179,0.034,0.0232,0.0268,0.0335,0.0286,0.0333,0.2287,0.0015,0.0005,0.0015,0.0017,0.0023,0.0008,0.0109,0.0009,0.0201
feature_609,-0.0391,0.0014,0.0422,0.0199,0.0456,0.0287,0.0371,0.0437,0.0378,0.0447,0.2998,0.0019,0.0006,0.002,0.0013,0.0024,0.0013,0.0133,0.0015,0.0242
feature_610,0.0335,0.0012,0.0422,0.0209,0.0422,0.0263,0.0398,0.0398,0.0382,0.0463,0.2956,0.0016,0.0013,0.0054,0.0025,0.0024,0.0009,0.0024,0.0015,0.0181
feature_611,0.0106,0.0004,0.0256,0.0181,0.027,0.0226,0.0221,0.0265,0.0246,0.0251,0.1916,0.0022,0.0007,0.0015,0.0015,0.0011,0.0007,0.0036,0.0016,0.0128
feature_612,-0.0033,1e-04,0.0298,0.0266,0.031,0.0286,0.0239,0.0322,0.0281,0.0272,0.2273,0.0028,0.001,0.0029,0.0006,0.0011,0.001,0.0149,0.0012,0.0255
rank_correlation,0.0258,1.0,0.0048,-0.1889,0.0104,-0.1268,0.0246,-0.0173,-0.0206,0.0423,-0.0535,0.0259,0.0216,0.0391,-0.0252,0.038,-0.0157,0.0238,0.0843,0.0534
cosine_similarity,0.152,1.0,0.4742,0.4202,0.4779,0.4562,0.4626,0.4727,0.4729,0.475,0.4701,0.4059,0.3367,0.4306,0.3817,0.4045,0.4028,0.3786,0.3859,0.4704
