,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.7322,0.2455,1.0582,1.6987,3.5754,2.2527,8.585,0.2231,0.5309,0.0036,0.2548,1.0123
feature_1,0.1163,0.039,0.5279,0.944,2.1227,1.2859,4.8805,0.0606,0.36,0.1676,0.0302,0.6184
feature_2,-0.2646,0.0887,0.5371,0.998,2.1125,1.2087,4.8563,0.0218,0.026,0.525,0.006,0.5788
feature_3,0.3067,0.1029,3.393,2.6549,1.0116,2.4063,9.4659,0.0522,0.0012,0.0004,0.1311,0.1849
feature_4,-0.0048,0.0016,3.2649,2.5655,0.7055,2.1042,8.64,0.0115,0.0028,0.0036,0.0162,0.0341
feature_5,-0.0431,0.0144,0.757,1.0942,2.0198,1.2979,5.1689,0.439,0.0037,0.0016,0.1095,0.5538
feature_6,-0.7645,0.2564,3.9188,3.2763,1.6484,2.9422,11.7857,0.007,0.0249,0.0567,0.2458,0.3345
feature_7,-0.7497,0.2514,2.1616,2.1214,1.4425,1.6599,7.3854,0.1803,0.0079,0.0113,0.1032,0.3026
rank_correlation,-0.3333,1.0,0.4524,0.4524,0.119,0.5238,0.4048,-0.119,0.2857,0.2381,0.5952,0.119
cosine_similarity,-0.3087,1.0,0.7346,0.8178,0.7969,0.8378,0.8426,0.4853,0.528,0.2817,0.9018,0.7411
