,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head5_self,head6_self,head7_self,head8_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head5_no_self,head6_no_self,head7_no_self,head8_no_self,head_sum_no_self
feature_0,-0.6475,0.1017,0.4843,0.482,0.4766,0.4904,0.4923,0.4905,0.4829,0.4769,3.8759,0.029,0.0175,0.0221,0.0343,0.0194,0.0338,0.0241,0.0304,0.2106
feature_1,-0.5266,0.0827,0.4974,0.4947,0.5036,0.491,0.4886,0.493,0.4972,0.4962,3.9617,0.0266,0.0137,0.0356,0.0371,0.0095,0.0401,0.0509,0.0281,0.2416
feature_2,0.5555,0.0873,0.5125,0.5925,0.4586,0.5809,0.5739,0.5585,0.5156,0.596,4.3887,0.0229,0.0504,0.0675,0.0184,0.0134,0.021,0.0131,0.0957,0.3025
feature_3,0.5295,0.0832,0.5261,0.4965,0.5343,0.5082,0.52,0.512,0.5281,0.4853,4.1105,0.0334,0.019,0.0287,0.0209,0.0189,0.0218,0.0395,0.0167,0.1989
feature_4,-0.3439,0.054,0.5556,0.5121,0.5743,0.5207,0.5178,0.5252,0.5553,0.5175,4.2786,0.0251,0.0253,0.0406,0.0257,0.0277,0.0376,0.0157,0.0384,0.2361
feature_5,0.0226,0.0035,0.5676,0.5424,0.5715,0.5505,0.5546,0.5526,0.5663,0.5435,4.4491,0.0286,0.0297,0.0423,0.0347,0.0322,0.0272,0.0574,0.0272,0.2792
feature_6,0.0379,0.006,0.6524,0.6024,0.6972,0.6069,0.616,0.6235,0.6554,0.597,5.0508,0.0435,0.0162,0.02,0.0272,0.1316,0.0226,0.0378,0.0212,0.3201
feature_7,0.0663,0.0104,0.5332,0.54,0.5245,0.5402,0.5462,0.5385,0.5324,0.5309,4.2859,0.0422,0.0197,0.0218,0.0154,0.0272,0.0443,0.0172,0.0362,0.2239
feature_8,0.0612,0.0096,0.5683,0.5856,0.5354,0.5905,0.5916,0.5785,0.568,0.5817,4.5995,0.0225,0.0152,0.0151,0.0349,0.0166,0.1096,0.024,0.0834,0.3214
feature_9,0.0924,0.0145,0.5661,0.5575,0.6011,0.5468,0.5362,0.5581,0.5637,0.5739,4.5035,0.0217,0.017,0.019,0.0171,0.0119,0.048,0.0264,0.0546,0.2158
feature_10,0.0908,0.0143,0.6104,0.5857,0.6612,0.5718,0.5602,0.5908,0.6091,0.6029,4.7921,0.0395,0.0243,0.0316,0.0394,0.0154,0.03,0.02,0.0375,0.2378
feature_11,-0.0384,0.006,0.5541,0.58,0.509,0.589,0.595,0.5731,0.5554,0.568,4.5237,0.0709,0.0361,0.0306,0.0674,0.0414,0.0194,0.059,0.0169,0.3418
feature_12,-0.0212,0.0033,0.6314,0.5915,0.6901,0.587,0.5897,0.6107,0.6309,0.5924,4.9237,0.0369,0.0491,0.0505,0.029,0.0313,0.0233,0.0327,0.0153,0.2681
feature_13,0.0024,0.0004,0.6271,0.6306,0.582,0.6494,0.6563,0.6336,0.6276,0.6192,5.0258,0.0372,0.0668,0.0367,0.1013,0.0233,0.0254,0.0259,0.0342,0.3506
feature_14,-0.179,0.0281,0.5952,0.5841,0.6033,0.5873,0.5841,0.5861,0.5987,0.5936,4.7324,0.0452,0.0154,0.0275,0.016,0.0243,0.0501,0.0443,0.0447,0.2676
feature_15,-0.3096,0.0486,0.6759,0.6546,0.7131,0.6474,0.649,0.6607,0.675,0.6536,5.3294,0.0453,0.0571,0.0642,0.0414,0.064,0.0225,0.0362,0.04,0.3708
feature_16,-0.3873,0.0608,0.6284,0.6085,0.5838,0.6386,0.6492,0.6233,0.6311,0.5967,4.9595,0.0293,0.0681,0.0242,0.0315,0.0222,0.0517,0.0576,0.0206,0.305
feature_17,-0.445,0.0699,0.6045,0.6046,0.5976,0.6059,0.5987,0.6023,0.6069,0.6153,4.8359,0.0362,0.0631,0.0403,0.0289,0.0807,0.034,0.0471,0.0366,0.367
feature_18,-0.3741,0.0588,0.7153,0.6655,0.7461,0.6765,0.6798,0.6863,0.7157,0.664,5.5491,0.044,0.0471,0.034,0.0358,0.1172,0.0246,0.0291,0.0212,0.353
feature_19,-0.3775,0.0593,0.5443,0.5219,0.5863,0.5134,0.521,0.5306,0.5431,0.5163,4.2769,0.0401,0.0417,0.0283,0.024,0.0248,0.0376,0.0298,0.0304,0.2566
feature_20,-0.4461,0.0701,0.659,0.6869,0.7036,0.6545,0.6556,0.6743,0.6566,0.684,5.3743,0.033,0.1221,0.0224,0.0211,0.0542,0.0814,0.03,0.052,0.4161
feature_21,-0.4192,0.0659,0.6962,0.681,0.6882,0.6877,0.6857,0.6838,0.6933,0.6844,5.5004,0.0431,0.0319,0.0687,0.0135,0.0507,0.0246,0.0553,0.0425,0.3303
feature_22,-0.1994,0.0313,0.7335,0.8144,0.6993,0.796,0.7998,0.7869,0.7319,0.8035,6.1651,0.0341,0.0407,0.0434,0.1521,0.027,0.0316,0.0305,0.0234,0.3828
feature_23,-0.1005,0.0158,0.5118,0.5252,0.5334,0.5077,0.4932,0.5148,0.5104,0.544,4.1404,0.0207,0.0105,0.0221,0.0241,0.0279,0.0186,0.1176,0.0284,0.27
feature_24,0.0155,0.0024,0.5446,0.6132,0.4694,0.6143,0.6145,0.5885,0.5419,0.6067,4.5931,0.0191,0.0659,0.0646,0.0446,0.0393,0.0408,0.0102,0.07,0.3543
feature_25,0.0759,0.0119,0.6168,0.6405,0.6116,0.6289,0.6105,0.624,0.6151,0.6605,5.008,0.1038,0.0222,0.0352,0.0212,0.0218,0.0215,0.0164,0.026,0.268
