,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.0482,0.0139,0.5152,0.8357,1.0035,1.0527,3.4071,0.0193,0.1017,0.0245,0.1103,0.2557
feature_1,-0.0695,0.0201,0.5661,0.5151,0.4939,0.4906,2.0657,0.0366,0.0143,0.0356,0.0377,0.1243
feature_2,0.2017,0.0583,1.4664,1.1248,0.9154,0.9113,4.4179,0.0287,0.0468,0.025,0.0478,0.1484
feature_3,0.0765,0.0221,0.8571,0.9783,1.0388,1.0942,3.9683,0.2324,0.02,0.0235,0.0315,0.3075
feature_4,-0.2021,0.0585,0.7797,0.6124,0.5736,0.4692,2.4349,0.021,0.0216,0.012,0.0427,0.0974
feature_5,-0.729,0.2109,0.8598,0.8505,0.7975,0.8583,3.366,0.0832,0.0175,0.0201,0.0572,0.1781
feature_6,-0.4608,0.1333,0.6738,1.2037,1.3439,1.5268,4.7481,0.0135,0.0455,0.2861,0.0852,0.4302
feature_7,0.623,0.1802,0.7841,0.6376,0.562,0.5481,2.5317,0.0256,0.0252,0.0339,0.0343,0.119
feature_8,-0.1164,0.0337,0.9644,1.2628,1.3466,1.4775,5.0512,0.2239,0.0169,0.0186,0.1003,0.3598
feature_9,0.2737,0.0792,1.1406,0.9184,0.7855,0.7801,3.6246,0.0588,0.0206,0.02,0.0365,0.1358
feature_10,-0.0112,0.0032,1.1778,0.9149,0.9581,0.6262,3.6768,0.0136,0.0704,0.0167,0.0724,0.173
feature_11,-0.204,0.059,1.4284,1.1115,0.9074,0.9421,4.3893,0.0264,0.0828,0.0575,0.0544,0.221
feature_12,-0.1029,0.0298,1.526,1.3311,1.1961,1.1669,5.2201,0.087,0.0088,0.0214,0.111,0.2283
feature_13,-0.1789,0.0518,0.4732,0.7074,0.8516,0.9359,2.9681,0.0289,0.0555,0.2287,0.0356,0.3487
feature_14,-0.1098,0.0318,0.8492,0.6506,0.6052,0.4935,2.5985,0.0207,0.0172,0.022,0.0476,0.1076
feature_15,-0.049,0.0142,0.9414,0.8163,0.847,0.6593,3.2639,0.0644,0.0184,0.011,0.0565,0.1502
rank_correlation,-0.2971,1.0,0.0118,0.0824,-0.2265,0.0441,0.0059,-0.0147,0.0382,0.2853,-0.2382,-0.0794
cosine_similarity,-0.2759,1.0,0.6619,0.6929,0.6745,0.6928,0.6907,0.4195,0.5077,0.5451,0.6093,0.6551
