,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.0482,0.0139,0.1403,0.1415,0.1408,0.1393,0.562,0.1034,0.0329,0.0441,0.0629,0.2433
feature_1,-0.0695,0.0201,0.1813,0.1752,0.1801,0.1806,0.7172,0.0725,0.0409,0.0917,0.1091,0.3141
feature_2,0.2017,0.0583,0.1261,0.1332,0.1259,0.1291,0.5144,0.0597,0.1008,0.0298,0.0327,0.223
feature_3,0.0765,0.0221,0.0699,0.0701,0.07,0.0693,0.2794,0.0248,0.0313,0.0217,0.0434,0.1213
feature_4,-0.2021,0.0585,0.1308,0.1357,0.1311,0.1319,0.5294,0.0664,0.0639,0.0609,0.0379,0.2291
feature_5,-0.729,0.2109,0.0949,0.0954,0.0951,0.0949,0.3802,0.0479,0.0354,0.0509,0.0322,0.1664
feature_6,-0.4608,0.1333,0.1389,0.1439,0.1394,0.142,0.5642,0.0402,0.0303,0.1375,0.0347,0.2427
feature_7,0.623,0.1802,0.1394,0.1374,0.1382,0.139,0.554,0.0324,0.0788,0.0615,0.0647,0.2373
feature_8,-0.1164,0.0337,0.1802,0.1826,0.1803,0.1802,0.7232,0.0726,0.0853,0.1031,0.0431,0.3041
feature_9,0.2737,0.0792,0.0792,0.0808,0.0798,0.079,0.3189,0.0393,0.0323,0.0227,0.0382,0.1325
feature_10,-0.0112,0.0032,0.1992,0.1928,0.1982,0.1985,0.7886,0.085,0.0989,0.0576,0.1068,0.3483
feature_11,-0.204,0.059,0.1612,0.1587,0.1618,0.1597,0.6415,0.0979,0.0616,0.0767,0.0458,0.282
feature_12,-0.1029,0.0298,0.0774,0.08,0.0783,0.0779,0.3136,0.0251,0.0282,0.0391,0.0418,0.1341
feature_13,-0.1789,0.0518,0.1476,0.1523,0.1497,0.1488,0.5983,0.0972,0.0323,0.0608,0.0742,0.2645
feature_14,-0.1098,0.0318,0.091,0.0936,0.0912,0.0919,0.3676,0.0252,0.0573,0.0265,0.0511,0.1601
feature_15,-0.049,0.0142,0.3578,0.3421,0.3553,0.3532,1.4084,0.1106,0.1899,0.1152,0.1815,0.5972
rank_correlation,-0.2971,1.0,-0.3588,-0.3147,-0.35,-0.3265,-0.3147,-0.3382,-0.1471,0.0912,-0.6412,-0.3824
cosine_similarity,-0.2759,1.0,0.5754,0.5872,0.5768,0.5792,0.5797,0.5468,0.522,0.6687,0.4753,0.5808
