,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.0482,0.0139,0.9534,0.9768,0.9589,0.9524,3.8416,0.1034,0.0329,0.0441,0.0629,0.2433
feature_1,-0.0695,0.0201,1.2595,1.1977,1.2423,1.2454,4.9449,0.0725,0.0409,0.0917,0.1091,0.3141
feature_2,0.2017,0.0583,0.8759,0.9504,0.8897,0.9091,3.625,0.0597,0.1008,0.0298,0.0327,0.223
feature_3,0.0765,0.0221,0.4822,0.484,0.4807,0.4758,1.9227,0.0248,0.0313,0.0217,0.0434,0.1213
feature_4,-0.2021,0.0585,0.8966,0.9498,0.9052,0.9121,3.6636,0.0664,0.0639,0.0609,0.0379,0.2291
feature_5,-0.729,0.2109,0.6545,0.6601,0.6563,0.6557,2.6266,0.0479,0.0354,0.0509,0.0322,0.1664
feature_6,-0.4608,0.1333,0.9649,1.0056,0.971,0.9904,3.9318,0.0402,0.0303,0.1375,0.0347,0.2427
feature_7,0.623,0.1802,0.971,0.9476,0.9599,0.9654,3.8439,0.0324,0.0788,0.0615,0.0647,0.2373
feature_8,-0.1164,0.0337,1.2366,1.262,1.2441,1.2455,4.9881,0.0726,0.0853,0.1031,0.0431,0.3041
feature_9,0.2737,0.0792,0.539,0.5604,0.5444,0.5412,2.185,0.0393,0.0323,0.0227,0.0382,0.1325
feature_10,-0.0112,0.0032,1.3926,1.3179,1.3763,1.3749,5.4618,0.085,0.0989,0.0576,0.1068,0.3483
feature_11,-0.204,0.059,1.1269,1.0914,1.1245,1.1045,4.4473,0.0979,0.0616,0.0767,0.0458,0.282
feature_12,-0.1029,0.0298,0.5335,0.5599,0.5431,0.5407,2.1771,0.0251,0.0282,0.0391,0.0418,0.1341
feature_13,-0.1789,0.0518,1.0107,1.0637,1.0374,1.029,4.1407,0.0972,0.0323,0.0608,0.0742,0.2645
feature_14,-0.1098,0.0318,0.6259,0.654,0.6312,0.6376,2.5487,0.0252,0.0573,0.0265,0.0511,0.1601
feature_15,-0.049,0.0142,2.4768,2.3188,2.4352,2.4205,9.6513,0.1106,0.1899,0.1152,0.1815,0.5972
rank_correlation,-0.2971,1.0,-0.2853,-0.3441,-0.2765,-0.2765,-0.2765,-0.3382,-0.1471,0.0912,-0.6412,-0.3824
cosine_similarity,-0.2759,1.0,0.5753,0.5921,0.579,0.5816,0.582,0.5468,0.522,0.6687,0.4753,0.5808
