,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.8314,0.0251,0.2267,0.2301,0.2625,0.233,0.9523,0.0343,0.0177,0.0348,0.0033,0.0901
feature_1,-0.9869,0.0297,0.1505,0.1669,0.1484,0.147,0.6128,0.0062,0.0069,0.0074,0.0054,0.0258
feature_2,-0.5865,0.0177,0.1492,0.1422,0.1669,0.1508,0.6091,0.0137,0.0071,0.0289,0.0029,0.0526
feature_3,0.8555,0.0258,0.1868,0.174,0.1826,0.1789,0.7223,0.0072,0.0067,0.0084,0.0074,0.0297
feature_4,-0.3522,0.0106,0.1204,0.1147,0.1209,0.1132,0.4692,0.0038,0.0052,0.007,0.0046,0.0207
feature_5,0.0089,0.0003,0.2923,0.2423,0.346,0.259,1.1396,0.0054,0.0064,0.0843,0.0034,0.0996
feature_6,0.3452,0.0104,0.231,0.1646,0.2568,0.1754,0.8278,0.0054,0.0179,0.0055,0.0057,0.0345
feature_7,0.0085,0.0003,0.1506,0.2023,0.1297,0.1441,0.6267,0.0047,0.0275,0.0039,0.0131,0.0493
feature_8,-0.3805,0.0115,0.314,0.2045,0.3544,0.2097,1.0826,0.0074,0.0329,0.0102,0.0114,0.0619
feature_9,0.1058,0.0032,0.1859,0.1648,0.1973,0.1975,0.7455,0.0053,0.0084,0.0046,0.0182,0.0366
feature_10,-0.3092,0.0093,0.1647,0.1294,0.1775,0.1272,0.5988,0.0025,0.0085,0.0048,0.0094,0.0252
feature_11,1.3946,0.042,0.1687,0.1451,0.1794,0.1361,0.6293,0.0048,0.0081,0.0099,0.015,0.0378
feature_12,0.2938,0.0089,0.466,0.2568,0.5187,0.2535,1.4951,0.006,0.0079,0.0069,0.0045,0.0253
feature_13,-1.099,0.0331,0.2035,0.1734,0.2409,0.1888,0.8066,0.0032,0.0179,0.021,0.0083,0.0504
