,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.8314,0.0251,0.1721,0.2121,0.1795,0.1732,0.7369,0.0107,0.0085,0.0092,0.0129,0.0413
feature_1,-0.9869,0.0297,0.1335,0.1233,0.1336,0.1438,0.5342,0.0053,0.016,0.0037,0.0073,0.0323
feature_2,-0.5865,0.0177,0.0943,0.0975,0.0969,0.0873,0.376,0.0072,0.0086,0.0035,0.005,0.0243
feature_3,0.8555,0.0258,0.2493,0.1518,0.2032,0.3571,0.9614,0.0068,0.0063,0.024,0.0063,0.0434
feature_4,-0.3522,0.0106,0.2211,0.1909,0.2103,0.2188,0.841,0.0143,0.0099,0.0209,0.0034,0.0485
feature_5,0.0089,0.0003,0.1755,0.164,0.1799,0.155,0.6744,0.0109,0.0159,0.0077,0.011,0.0455
feature_6,0.3452,0.0104,0.1535,0.1539,0.1454,0.1481,0.6008,0.0171,0.0116,0.0029,0.008,0.0396
feature_7,0.0085,0.0003,0.1811,0.1428,0.1707,0.186,0.6806,0.0144,0.0063,0.0051,0.0151,0.0409
feature_8,-0.3805,0.0115,0.1595,0.1853,0.171,0.1525,0.6683,0.0103,0.0068,0.0169,0.007,0.0409
feature_9,0.1058,0.0032,0.2353,0.1646,0.2184,0.2682,0.8866,0.014,0.0135,0.0021,0.0242,0.0537
feature_10,-0.3092,0.0093,0.3582,0.299,0.3428,0.3766,1.3766,0.0205,0.0203,0.0329,0.0045,0.0782
feature_11,1.3946,0.042,0.1425,0.1582,0.1435,0.1382,0.5824,0.0076,0.0093,0.0094,0.0086,0.0349
feature_12,0.2938,0.0089,0.2278,0.2707,0.257,0.193,0.9486,0.0134,0.0101,0.0134,0.02,0.0569
feature_13,-1.099,0.0331,0.1254,0.1315,0.1238,0.1278,0.5085,0.0054,0.0088,0.0022,0.0143,0.0308
feature_14,-0.4428,0.0133,0.2352,0.3583,0.2818,0.1702,1.0455,0.0391,0.0119,0.0064,0.0096,0.067
feature_15,0.4917,0.0148,0.1703,0.2082,0.1817,0.1699,0.73,0.0067,0.0152,0.0043,0.0156,0.0418
feature_16,0.565,0.017,0.4467,0.2078,0.3455,0.6989,1.6989,0.0047,0.0161,0.0058,0.0572,0.0837
feature_17,0.1614,0.0049,0.1741,0.2584,0.2012,0.1343,0.7679,0.0082,0.0103,0.0229,0.0098,0.0512
feature_18,-0.3448,0.0104,0.1141,0.119,0.1169,0.1097,0.4597,0.0039,0.0096,0.0048,0.0097,0.0281
feature_19,-0.4823,0.0145,0.149,0.1895,0.1664,0.1478,0.6526,0.012,0.0096,0.0129,0.0051,0.0396
