,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.2097,0.0883,0.1275,0.1285,0.1289,0.1292,0.5141,0.027,0.1177,0.0606,0.0269,0.2321
feature_1,-0.2154,0.0907,0.1243,0.1333,0.1385,0.1358,0.5319,0.0375,0.0752,0.0546,0.0737,0.241
feature_2,0.0369,0.0155,0.0992,0.0968,0.0954,0.0949,0.3862,0.0309,0.0808,0.0201,0.0254,0.1572
feature_3,0.5408,0.2278,0.1402,0.1396,0.1385,0.1384,0.5566,0.0518,0.0594,0.0675,0.0637,0.2424
feature_4,0.116,0.0488,0.3276,0.3233,0.3204,0.3221,1.2935,0.026,0.1351,0.1105,0.2738,0.5454
feature_5,0.1173,0.0494,0.1715,0.1695,0.1687,0.1688,0.6785,0.0832,0.066,0.0713,0.0726,0.2932
feature_6,-0.197,0.083,0.1265,0.1287,0.13,0.1288,0.514,0.0539,0.0551,0.0839,0.0333,0.2262
feature_7,-0.078,0.0329,0.1082,0.1051,0.1031,0.1037,0.4201,0.0269,0.0367,0.0773,0.0386,0.1794
feature_8,-0.2164,0.0911,0.143,0.142,0.1407,0.1434,0.5691,0.0406,0.0792,0.07,0.0568,0.2466
feature_9,-0.262,0.1104,0.1409,0.1406,0.1404,0.1416,0.5635,0.037,0.0625,0.0879,0.0559,0.2432
feature_10,0.151,0.0636,0.2213,0.2272,0.232,0.2293,0.9098,0.0609,0.07,0.111,0.1434,0.3854
feature_11,-0.2104,0.0886,0.1168,0.1185,0.1197,0.1215,0.4766,0.0303,0.1043,0.0525,0.0327,0.2197
feature_12,0.0232,0.0098,0.4682,0.4622,0.4588,0.4579,1.8471,0.4941,0.058,0.1328,0.1034,0.7882
rank_correlation,-0.2418,1.0,-0.0879,-0.0659,-0.0824,-0.0604,-0.0604,-0.0055,0.0714,-0.2912,-0.0879,-0.0604
cosine_similarity,0.2146,1.0,0.6103,0.6163,0.6189,0.6196,0.6163,0.2747,0.7702,0.7388,0.5658,0.6262
