,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.7322,0.2455,1.4166,1.3893,1.4069,1.3974,5.6102,0.0452,0.1105,0.1014,0.074,0.3311
feature_1,0.1163,0.039,1.2588,1.2385,1.2779,1.2385,5.0137,0.05,0.1014,0.0737,0.0764,0.3015
feature_2,-0.2646,0.0887,1.6962,1.7279,1.6184,1.7186,6.7611,0.2707,0.0789,0.069,0.0982,0.5167
feature_3,0.3067,0.1029,2.4327,2.3661,2.6122,2.364,9.775,0.1339,0.0761,0.0601,0.1513,0.4214
feature_4,-0.0048,0.0016,1.3041,1.2846,1.3037,1.2858,5.1783,0.0543,0.0995,0.0685,0.0981,0.3204
feature_5,-0.0431,0.0144,2.8846,2.8368,2.8436,2.8441,11.4091,0.1514,0.1041,0.2428,0.2448,0.7431
feature_6,-0.7645,0.2564,1.9325,2.1247,1.8518,2.1185,8.0275,0.107,0.1724,0.1879,0.1023,0.5696
feature_7,-0.7497,0.2514,1.6477,1.5975,1.7435,1.5945,6.5831,0.0504,0.1446,0.1343,0.0718,0.4011
rank_correlation,-0.3333,1.0,0.1905,0.1905,0.2619,0.1905,0.1905,-0.2143,0.5952,0.3095,-0.2619,0.2381
cosine_similarity,-0.3087,1.0,0.7123,0.7228,0.7119,0.7224,0.7177,0.5531,0.8605,0.731,0.5682,0.7202
